Inscription ID,Feature,Details,Uncertain,Notes
267,Coronae or Bucrania,,,
267,Outer Courtyard,,,
269,Emphasis with Interpunct or Vacat,,,
270,Bronze Cuttings,,,
271,Emphasis with Interpunct or Vacat,,,
271,Altered or Recut,,,
274,Coronae or Bucrania,,,
275,Emphasis with Interpunct or Vacat,,,
275,Bronze Cuttings,,,
275,Path to Telesterion,,,
276,No Abbreviation,,,
276,Missing,,,
277,Office(s) of Relative(s),,,
277,Removed from Site,,,
278,Office(s) of Relative(s),,,
278,Missing,,,
279,"At Site, Moved in Modernity",,,
280,Between Propylaea,,,
282,Coronae or Bucrania,,,
282,Child Size Cuttings,,,
282,Between Propylaea,,,
283,Coronae or Bucrania,,,
283,Southern Wall,,,
286,Full Size Cuttings,,,
286,Between Propylaea,,,
287,No Abbreviation,,,
287,Emphasis with Interpunct or Vacat,,,
288,Bronze Cuttings,,,
288,Missing,,,
289,No Abbreviation,,,
289,Southern Wall,,,
290,Between Propylaea,,,
292,No Abbreviation,,,
292,Bronze Cuttings,,,
293,No Abbreviation,,,
293,Emphasis with Interpunct or Vacat,,,
293,Between Propylaea,,,
294,Southern Wall,,,
295,"At Site, Moved in Modernity",,,
300,Office(s) of Relative(s),,,
300,Beyond Immediate Family,,,
300,Filiation Symbol or Nomina Suprabar,,,
304,"At Site, Moved in Modernity",,,
308,Bronze Cuttings,,,
317,Missing,,,
320,Filiation Symbol or Nomina Suprabar,,,
324,Front of Telesterion,,,
324,"At Site, Moved in Modernity",,,
325,Missing,,,
326,Outer Courtyard,,,
327,Bronze Cuttings,,,
327,Outer Courtyard,,,
328,Relief,,,
329,Removed from Site,,,
331,No Abbreviation,,,
332,No Abbreviation,,,
333,Full Size Cuttings,,,
333,Bronze Cuttings,,,
333,Front of Telesterion,,,
333,"At Site, Moved in Modernity",,,
334,No Abbreviation,,,
334,Emphasis with Interpunct or Vacat,,,
334,"At Site, Moved in Modernity",,,
335,Adoptive and Natural Parents Recorded,,,
335,No Abbreviation,,,
335,Emphasis with Interpunct or Vacat,,,
336,No Abbreviation,,,
337,Missing,,,
338,No Abbreviation,,,
341,Adoptive and Natural Parents Recorded,,,
341,"At Site, Moved in Modernity",,,
342,Adoptive and Natural Parents Recorded,,,
342,Altered or Recut,,,
344,No Abbreviation,,,
344,Front of Telesterion,,,
344,"At Site, Moved in Modernity",,,
345,No Abbreviation,,,
345,Missing,,,
348,Office(s) of Relative(s),,,
349,Office(s) of Relative(s),,,
349,Front of Telesterion,,,
349,Missing,,,
350,No Abbreviation,,,
352,Standard Abbreviation,,,
352,Filiation Symbol or Nomina Suprabar,,,
352,Less than Life Size Cuttings,,,
352,Front of Telesterion,,,
352,"At Site, Moved in Modernity",,,
353,No Abbreviation,,,
354,Non-Standard Abbreviation,,,
354,Mix of Abbreviation Styles,,,
354,"At Site, Moved in Modernity",,,
355,No Abbreviation,,,
355,Missing,,,
357,No Abbreviation,,,
357,Part of Praenomen Dropped,,,
357,Bronze Cuttings,,,
357,Altered or Recut,,,
358,Adoptive and Natural Parents Recorded,,,
358,No Abbreviation,,,
358,Part of Praenomen Dropped,,,
359,Mix of Abbreviation Styles,,,
359,Emphasis with Interpunct or Vacat,,,
360,No Abbreviation,,,
360,Altered or Recut,,,
361,Removed from Site,,,
362,No Abbreviation,,,
362,Less than Life Size Cuttings,,,
362,Bronze Cuttings,,,
362,"At Site, Moved in Modernity",,,
363,Missing,,,
364,No Abbreviation,,,
364,Part of Praenomen Dropped,,,
364,Altered or Recut,,,
365,No Abbreviation,,,
366,Non-Standard Abbreviation,,,
367,Non-Standard Abbreviation,,,
367,Missing,,,
369,No Abbreviation,,,
369,Missing,,,
370,No Abbreviation,,,
371,Office(s) of Relative(s),,,
371,Non-Standard Abbreviation,,,
371,Mix of Abbreviation Styles,,,
371,Part of Praenomen Dropped,,,
371,Removed from Site,,,
372,???' ?????????????,,,
373,No Abbreviation,,,
