Inscription ID,Publication,Number,Additional,Notes
267,IG II²,3220,,
268,IG II²,3495,,
270,IG II²,3480,,
271,IG II²,1338,,
273,IG II²,3491,,
274,IG II²,3219,,
275,IG II²,3490,,
276,IG II²,4108,,
277,IG II²,3507,,
278,IG II²,3508,,
279,IG II²,4704,,
280,IG II²,4037,,
281,IG II²,4716,,
282,IG II²,3498,,
283,IG II²,3727,,
286,IG II²,3913,,
287,IG II²,4705,,
288,IG II²,3514,,
289,IG II²,4112,,
675,IG II²,3513,,
676,IG II²,3513,,
677,IG II²,3513,,
678,IG II²,3513,,
292,IG II²,4231,,
293,IG II²,4708,,
294,IG II²,4202,,
295,IG II²,3500,,
295,IG II²,3501,,
298,IG II²,3509,,
299,IG II²,3519,+,
679,IG II²,3510,,
680,IG II²,3510,,
681,IG II²,3510,,
302,IG II²,3511,,
304,IG II²,4306,,
305,IG II²,3887,+,
305,IG II²,3888,+,
306,IG II²,4709,,
307,IG II²,3499,,
308,IG II²,3905,,
317,IG II²,3723,,
324,IG II²,3523,,
325,IG II²,3527,,
326,IG II²,3915,,
327,IG II²,3920,,
328,IG II²,4717,,
329,IG II²,3518,,
330,IG II²,3904,,
331,IG II²,3263,,
333,IG II²,3547,,
334,IG II²,3261,,
336,IG II²,3524,,
337,IG II²,3525,,
338,IG II²,3526,,
341,IG II²,4720,,
342,IG II²,4721,,
343,IG II²,2879,,
344,IG II²,3530,,
345,IG IV²,82,,
345,IG IV²,83,,
345,IG IV²,84,,
346,IG II²,4046,,
347,IG II²,3919,,
347,IG II²,4165,,
348,IG II²,3928,,
349,IG II²,4042,,
350,IG II²,4190,,
351,IG II²,3551,,
352,IG II²,3927,,
353,IG II²,4043,,
355,IG II²,3934,,
358,IG II²,4722,,
360,IG II²,1086,+,
361,IG II²,3562,,
362,IG II²,3789,,
363,IG II²,5209,,
364,IG II²,3604,A,
365,IG II²,3552,,
366,IG II²,3953,,
367,IG II²,3954,,
369,IG II²,4868,,
370,IG II²,3581,+,
371,IG II²,3585,,
372,IG II²,3584,,
373,IG II²,3586,,
374,IG II²,3587,,
375,IG II²,3588,,
377,IG II²,3558,,
378,IG II²,3931,,
379,IG II²,2954,,
380,IG II²,3553,,
381,IG II²,3914,,
382,IG II²,3938,+,
383,IG II²,4198,,
384,IG II²,4203,,
385,IG II²,4204,,
386,IG II²,4311,,
387,IG II²,4939,,
388,IG II²,4940,,
390,IG II²,4996,,
392,IG II²,2880,,
393,IG II²,3517,,
394,IG II²,3567,,
395,IG II²,3568,,
396,IG II²,3569,,
397,IG II²,3948,,
397,IG II²,3949,,
398,IG II²,4055,,
399,IG II²,4058,,
401,IG II²,4755,,
402,IG II²,4205,,
403,IG II²,4942,,
404,IG II²,4749,+,
405,IG II²,4768,+,
406,IG II²,4767,,
688,IG II²,3546,,
689,IG II²,3546,,
434,IG II²,4754,,
435,IG II²,3559,,
436,IG II²,3560,,
437,IG II²,4753,,
438,IG II²,3604,B,
439,IG II²,4195,,
440,IG II²,4093,,
441,IG II²,3577,,
443,IG II²,2884,,
444,IG II²,3531,,
446,IG II²,3380,,
447,IG II²,2961,,
448,IG II²,2958,,
449,IG II²,3196,,
450,IG II²,3159,+,
453,IG II²,3386,,
454,IG II²,3575,,
457,IG II²,2809,,
458,IG II²,3557,,
460,IG II²,3598,,
461,IG II²,3399,+,
462,IG II²,3574,,
463,IG II²,4071,,
464,IG II²,3619,,
465,IG II²,2341,,
466,IG II²,3628,,
467,IG II²,3611,,
468,IG II²,3966,,
470,IG II²,4251,,
471,IG II²,4085,,
691,IG II²,4057,+,
692,IG II²,4057,+,
693,IG II²,4057,+,
694,IG II²,4057,+,
691,IG II²,4213,+,
692,IG II²,4213,+,
693,IG II²,4213,+,
694,IG II²,4213,+,
474,IG II²,3708,,
476,IG II²,4072,,
477,IG II²,3608,,
478,IG II²,3614,,
479,IG II²,3615,,
481,IG II²,3676,,
482,IG II²,3404,,
483,IG II²,3592,,
485,IG II²,3677,,
486,IG II²,4779,,
487,IG II²,3984,,
488,IG II²,3985,,
489,IG II²,1092,,
490,IG II²,2959,,
491,IG II²,3627,+,
492,IG II²,3616,,
493,IG II²,4084,+,
493,IG II²,4087,+,
495,IG II²,3407,,
496,IG II²,3408,,
498,IG II²,4781,,
500,IG II²,3718,,
501,IG II²,3633,,
502,IG II²,3632,,
503,IG II²,3620,,
504,IG II²,2957,,
505,IG II²,3397,,
506,IG II²,3402,,
507,IG II²,3400,,
509,IG II²,3401,,
510,IG II²,3398,,
511,IG II²,4077,,
512,IG II²,3645,,
513,IG II²,1110,+,
514,IG II²,1792,,
515,IG II²,3639,,
516,IG II²,3411,,
518,IG II²,3413,,
519,IG II²,3415,,
520,IG II²,3693,,
521,IG II²,3713,+,
521,IG II²,4089,+,
522,IG II²,3647,,
523,IG II²,3687,,
524,IG II²,3648,,
525,IG II²,4082,,
526,IG II²,2478,a,
527,IG II²,3165,,
527,IG II²,3166,,
528,IG II²,3987,,
529,IG II²,3967,,
530,IG II²,4816,,
531,IG II²,3621,,
532,IG II²,2956,,
533,IG II²,533,,
534,IG II²,3993,,
535,IG II²,3657,,
537,IG II²,4715,,
545,IG II²,2888,,
586,IG II²,4788,,
587,IG II²,3656,,
588,IG II²,3678,,
589,IG II²,4948,,
590,IG II²,4081,,
593,IG II²,4090,+,
597,IG II²,3236,,
600,IG II²,5008,,
619,IG II²,3186,+,
621,IG II²,3688,,
622,IG II²,3610,,
623,IG II²,3659,,
624,IG II²,3658,,
625,IG II²,4219,+,
626,IG II²,3666,,
628,IG II²,3686,,
629,IG II²,4067,,
630,IG II²,4216,,
631,IG II²,3641,,
632,IG II²,4088,,
633,IG II²,4075,,
633,IG II²,4083,,
634,IG II²,3817,,
635,IG II²,3637,,
636,IG II²,3638,,
637,IG II²,3811,+,
638,IG II²,1078,,
639,IG II²,3710,,
640,IG II²,3646,,
641,IG II²,4051,,
642,IG II²,3706,,
644,IG II²,4346,,
645,IG II²,3707,,
646,IG II²,3661,,
647,IG II²,3419,,
648,IG II²,3679,,
649,IG II²,3662,,
650,IG II²,3814,,
651,IG II²,4824,,
653,IG II²,3802,,
654,IG II²,3715,,
656,IG II²,3671,,
658,IG II²,3714,,
659,IG II²,3709,,
660,IG II²,3422,,
661,IG II²,4218,,
665,IG II²,4009,,
666,IG II²,4096,,
667,IG II²,4091,,
668,IG II²,5014,,
669,IG II²,4878,,
