id,title,type,notes
3000,Kanephoros to UNC,Sacred Official,
3001,Kanephoros to Mother of the Gods,Sacred Official,
3002,Kanephoros to Asklepios,Sacred Official,
3003,Kanephoros to Aphrodite Alopeke,Sacred Official,
3006,Eponymous Archon,Magistracy,
3007,Epimelite of Dionysiac Technitai,Magistracy,
3008,Underwriter of Dionysiac Technitai,Liturgy/Benefaction,
3009,Restorer of the Altar,Liturgy/Benefaction,
3010,Khoregos,Liturgy/Benefaction,
3011,Misc. Offices,Magistracy,
3014,Tamias,Magistracy,
3017,Kanephoros to Sarapis,Sacred Official,
3018,Kanephoros to Isis,Sacred Official,
3022,Pythokhrestos Exegete,Sacred Official,
3023,Hoplite General,Magistracy,
3026,Agonothete,Liturgy/Benefaction,
3027,Herald of the Areopagus,Magistracy,
3028,Secretary of the Demos,Magistracy,
3029,Proedros,Magistracy,
3032,Priest of the Graces,Sacred Official,
3033,Priest of Artemis Epipyrgidia,Sacred Official,
3034,Priest of the Panages,Sacred Official,
3035,Priest of Hermes Patroos,Sacred Official,
3036,Priest of Apollo Pythios,Sacred Official,
3038,Priest of Zeus Horios,Sacred Official,
3039,Priest of Athena Horios,Sacred Official,
3040,Priest of Poseidon Prosbasterios,Sacred Official,
3041,Priest of Poseidon Themelioukhos,Sacred Official,
3043,Priest of Asklepios,Sacred Official,
3045,Priest of the Demos,Sacred Official,
3046,Priest of Sebaiste Dikaiosyne,Sacred Official,
3047,Priest of Apollo Patroos,Sacred Official,
3051,Agonothete of the Panathenaia,Liturgy/Benefaction,
3053,Kanephoros to Dionysos Lenaios,Sacred Official,
3057,Herald of the Boule and Demos,Magistracy,
3058,Epimelite of the City,Magistracy,
3059,Gymnasiarch,Liturgy/Benefaction,
3060,Ambassador,Magistracy,
3062,Periodonikos,Membership/Rank/Title,
3063,Exegete,Sacred Official,
3064,Priest of Zeus Palladion,Sacred Official,
3065,Bouzyges,Membership/Rank/Title,
3067,Agonothete of the Greater Asklepieia,Liturgy/Benefaction,
3084,Agonothete of the Eleusinia,Liturgy/Benefaction,
3085,Priest of Poseidon Erekhtheus,Sacred Official,
3087,Panegyriarch,Liturgy/Benefaction,
3092,Priest of Triptolemos,Sacred Official,
3094,Archon,Magistracy,
3097,Bouletikos,Membership/Rank/Title,
3098,Priest of Daphnephoros,Sacred Official,
3099,Priestess of Athena,Sacred Official,
3100,Priestess of Kal[ligeneia?],Sacred Official,
3102,Priest of the Gods and Goddesses,Sacred Official,
3103,Priestess of Moi[ragetes?],Sacred Official,
3105,Priest of Zeus,Sacred Official,
3109,Archon Basileus,Magistracy,
3114,Prytaneis,Magistracy,
3115,Aesitoi,Membership/Rank/Title,
3116,First Systarch of the Agones,Liturgy/Benefaction,
3121,Priestess of Athena Polias,Sacred Official,
3126,Euergetes,Membership/Rank/Title,
3130,Kosmete of the Ephebes,Magistracy,
3132,High-Priest of the Mother of the Gods in Boiotia,Sacred Official,
3135,Semnotatos (Areopagite),Membership/Rank/Title,
3012,Basileus of Cappadocia,Membership/Rank/Title,
3013,Basilissa of Cappadocia,Membership/Rank/Title,
3004,Priestess of Demeter and Kore,Sacred Official,
3005,Heath-Initiate,Membership/Rank/Title,
3015,Exegete of Eumolpidai,Sacred Official,
3016,Daduch,Sacred Official,
3019,Hierophantis,Sacred Official,
3030,Altar-Priest,Sacred Official,
3031,Pyrphoros,Sacred Official,
3037,Stone-bearer,Sacred Official,
3042,Hymnagogos,Sacred Official,
3049,Eumolpid,Membership/Rank/Title,
3052,Philleid,Membership/Rank/Title,
3068,Hierokeryx,Sacred Official,
3086,Hierophant,Sacred Official,
3101,Archon of the Eumolpidai,Other Office,
3104,Phaidyntes,Sacred Official,
3106,Iakhkhagogos,Sacred Official,
3110,Archon of the Kerykes,Other Office,
3112,Initiate,Membership/Rank/Title,
3113,Epoptes,Membership/Rank/Title,
3120,Victor in the Eleusina,Membership/Rank/Title,
3069,Ephesian Agonothete,Liturgy/Benefaction,
3070,Secretary of Ephesian Demos,Magistracy,
3071,Ephesian Ambassador,Magistracy,
3073,Neopoios of Artemis,Sacred Official,
3074,Ephesian Prytaneis,Magistracy,
3075,Ephesian Agoronomos,Magistracy,
3076,Ephesian Gymnasiarch,Liturgy/Benefaction,
3128,Phoinikrarchos (Provincial Assembly of Syria),Magistracy,
3117,Priest of Zeus Olympios,Sacred Official,
3118,Priest of Dionysos Eleuthereus,Sacred Official,
3119,Agonothete of Olympeia,Liturgy/Benefaction,
3127,Phaidyntes in Olympia,Sacred Official,
3066,Divine Panhellenios,Membership/Rank/Title,
3111,Panhellene,Membership/Rank/Title,
3020,Imperator (Republican),Membership/Rank/Title,
3021,Consul,Magistracy,
3024,Emperor,Membership/Rank/Title,
3025,Imperial Priest,Sacred Official,
3044,Priest of the Rome Senate and People,Sacred Official,
3048,Proconsul,Magistracy,
3050,Agonothete of the Megaloi Kaisareoi Sebastoi,Liturgy/Benefaction,
3054,Propraetor,Magistracy,
3055,Praefectus Fabrum,Magistracy,
3056,Praetectus Cohortis II Hispanorum,Magistracy,
3061,Equestrian or Senatorial Rank (Kratistos),Membership/Rank/Title,
3072,Imperial Priest of Asia,Sacred Official,
3077,Senatorial Rank (Synkletikos),Membership/Rank/Title,
3078,Military Tribune (Khiliarkhos),Magistracy,
3079,Decemvir,Magistracy,
3080,Quaestor,Magistracy,
3081,Plebeian Tribune,Magistracy,
3082,Praetor,Magistracy,
3083,Governor,Magistracy,
3088,Imperial Priest of Achaea,Sacred Official,
3089,Pontifex,Sacred Official,
3090,XV Vir Sacris Faciundis,Sacred Official,
3093,Praefectus Equitum(?),Magistracy,
3095,Ambassador to Antoninus,Magistracy,
3096,Asiarch,Magistracy,
3123,Procurator Fisci Asiatici,Magistracy,
3125,Necessarius,Membership/Rank/Title,
3131,[?] of the [?] Legion,Magistracy,
3133,Clarissimus (Lamprotatos),Membership/Rank/Title,
3134,Agonothete of the Hadrianeia,Liturgy/Benefaction,
3136,Pontifex Maximus,Sacred Official,
3137,Pater Patriae,Membership/Rank/Title,
3138,Tribunicia Postestas,Membership/Rank/Title,
3139,Mater Castrorum,Membership/Rank/Title,
3091,Son of Greece',Membership/Rank/Title,
3107,Archon of the Panhellenion,Other Office,
3108,Sophist,Membership/Rank/Title,
3122,Archon of the Sacred Gerousia,Sacred Official,
3124,Sophistic Chair,Membership/Rank/Title,
3129,Rhetor,Membership/Rank/Title,
