my_id,title,origin,type,notes
3000,Kanephoros to UNC,Athens,Sacred Official,
3001,Kanephoros to Mother of the Gods,Athens,Sacred Official,
3002,Kanephoros to Asklepios,Athens,Sacred Official,
3003,Kanephoros to Aphrodite Alopeke,Athens,Sacred Official,
3006,Eponymous Archon,Athens,Magistracy,
3007,Epimelite of Dionysiac Technitai,Athens,Magistracy,
3008,Underwriter of Dionysiac Technitai,Athens,Liturgy/Benefaction,
3009,Restorer of the Altar,Athens,Liturgy/Benefaction,
3010,Khoregos,Athens,Liturgy/Benefaction,
3011,Misc. Offices,Athens,Magistracy,
3014,Tamias,Athens,Magistracy,
3017,Kanephoros to Sarapis,Athens,Sacred Official,
3018,Kanephoros to Isis,Athens,Sacred Official,
3022,Pythokhrestos Exegete,Athens,Sacred Official,
3023,Hoplite General,Athens,Magistracy,
3026,Agonothete,Athens,Liturgy/Benefaction,
3027,Herald of the Areopagus,Athens,Magistracy,
3028,Secretary of the Demos,Athens,Magistracy,
3029,Proedros,Athens,Magistracy,
3032,Priest of the Graces,Athens,Sacred Official,
3033,Priest of Artemis Epipyrgidia,Athens,Sacred Official,
3034,Priest of the Panages,Athens,Sacred Official,
3035,Priest of Hermes Patroos,Athens,Sacred Official,
3036,Priest of Apollo Pythios,Athens,Sacred Official,
3038,Priest of Zeus Horios,Athens,Sacred Official,
3039,Priest of Athena Horios,Athens,Sacred Official,
3040,Priest of Poseidon Prosbasterios,Athens,Sacred Official,
3041,Priest of Poseidon Themelioukhos,Athens,Sacred Official,
3043,Priest of Asklepios,Athens,Sacred Official,
3045,Priest of the Demos,Athens,Sacred Official,
3046,Priest of Sebaiste Dikaiosyne,Athens,Sacred Official,
3047,Priest of Apollo Patroos,Athens,Sacred Official,
3051,Agonothete of the Panathenaia,Athens,Liturgy/Benefaction,
3053,Kanephoros to Dionysos Lenaios,Athens,Sacred Official,
3057,Herald of the Boule and Demos,Athens,Magistracy,
3058,Epimelite of the City,Athens,Magistracy,
3059,Gymnasiarch,Athens,Liturgy/Benefaction,
3060,Ambassador,Athens,Magistracy,
3062,Periodonikos,Athens,Membership/Rank/Title,
3063,Exegete,Athens,Sacred Official,
3064,Priest of Zeus Palladion,Athens,Sacred Official,
3065,Bouzyges,Athens,Membership/Rank/Title,
3067,Agonothete of the Greater Asklepieia,Athens,Liturgy/Benefaction,
3084,Agonothete of the Eleusinia,Athens,Liturgy/Benefaction,
3085,Priest of Poseidon Erekhtheus,Athens,Sacred Official,
3087,Panegyriarch,Athens,Liturgy/Benefaction,
3092,Priest of Triptolemos,Athens,Sacred Official,
3094,Archon,Athens,Magistracy,
3097,Bouletikos,Athens,Membership/Rank/Title,
3098,Priest of Daphnephoros,Athens,Sacred Official,
3099,Priestess of Athena,Athens,Sacred Official,
3100,Priestess of Kal[ligeneia?],Athens,Sacred Official,
3102,Priest of the Gods and Goddesses,Athens,Sacred Official,
3103,Priestess of Moi[ragetes?],Athens,Sacred Official,
3105,Priest of Zeus,Athens,Sacred Official,
3109,Archon Basileus,Athens,Magistracy,
3114,Prytaneis,Athens,Magistracy,
3115,Aesitoi,Athens,Membership/Rank/Title,
3116,First Systarch of the Agones,Athens,Liturgy/Benefaction,
3121,Priestess of Athena Polias,Athens,Sacred Official,
3126,Euergetes,Athens,Membership/Rank/Title,
3130,Kosmete of the Ephebes,Athens,Magistracy,
3132,High-Priest of the Mother of the Gods in Boiotia,Athens,Sacred Official,
3135,Semnotatos (Areopagite),Athens,Membership/Rank/Title,
3012,Basileus of Cappadocia,Cappadocia,Membership/Rank/Title,
3013,Basilissa of Cappadocia,Cappadocia,Membership/Rank/Title,
3004,Priestess of Demeter and Kore,Eleusis,Sacred Official,
3005,Heath-Initiate,Eleusis,Membership/Rank/Title,
3015,Exegete of Eumolpidai,Eleusis,Sacred Official,
3016,Daduch,Eleusis,Sacred Official,
3019,Hierophantis,Eleusis,Sacred Official,
3030,Altar-Priest,Eleusis,Sacred Official,
3031,Pyrphoros,Eleusis,Sacred Official,
3037,Stone-bearer,Eleusis,Sacred Official,
3042,Hymnagogos,Eleusis,Sacred Official,
3049,Eumolpid,Eleusis,Membership/Rank/Title,
3052,Philleid,Eleusis,Membership/Rank/Title,
3068,Hierokeryx,Eleusis,Sacred Official,
3086,Hierophant,Eleusis,Sacred Official,
3101,Archon of the Eumolpidai,Eleusis,Other Office,
3104,Phaidyntes,Eleusis,Sacred Official,
3106,Iakhkhagogos,Eleusis,Sacred Official,
3110,Archon of the Kerykes,Eleusis,Other Office,
3112,Initiate,Eleusis,Membership/Rank/Title,
3113,Epoptes,Eleusis,Membership/Rank/Title,
3120,Victor in the Eleusina,Eleusis,Membership/Rank/Title,
3069,Ephesian Agonothete,Ephesus,Liturgy/Benefaction,
3070,Secretary of Ephesian Demos,Ephesus,Magistracy,
3071,Ephesian Ambassador,Ephesus,Magistracy,
3073,Neopoios of Artemis,Ephesus,Sacred Official,
3074,Ephesian Prytaneis,Ephesus,Magistracy,
3075,Ephesian Agoronomos,Ephesus,Magistracy,
3076,Ephesian Gymnasiarch,Ephesus,Liturgy/Benefaction,
3128,Phoinikrarchos (Provincial Assembly of Syria),Hierapolis,Magistracy,
3117,Priest of Zeus Olympios,Olympia,Sacred Official,
3118,Priest of Dionysos Eleuthereus,Olympia,Sacred Official,
3119,Agonothete of Olympeia,Olympia,Liturgy/Benefaction,
3127,Phaidyntes in Olympia,Olympia,Sacred Official,
3066,Divine Panhellenios,Other/Uncertain,Membership/Rank/Title,
3111,Panhellene,Other/Uncertain,Membership/Rank/Title,
3020,Imperator (Republican),Rome,Membership/Rank/Title,
3021,Consul,Rome,Magistracy,
3024,Emperor,Rome,Membership/Rank/Title,
3025,Imperial Priest,Rome,Sacred Official,
3044,Priest of the Rome Senate and People,Rome,Sacred Official,
3048,Proconsul,Rome,Magistracy,
3050,Agonothete of the Megaloi Kaisareoi Sebastoi,Rome,Liturgy/Benefaction,
3054,Propraetor,Rome,Magistracy,
3055,Praefectus Fabrum,Rome,Magistracy,
3056,Praetectus Cohortis II Hispanorum,Rome,Magistracy,
3061,Equestrian or Senatorial Rank (Kratistos),Rome,Membership/Rank/Title,
3072,Imperial Priest of Asia,Rome,Sacred Official,
3077,Senatorial Rank (Synkletikos),Rome,Membership/Rank/Title,
3078,Military Tribune (Khiliarkhos),Rome,Magistracy,
3079,Decemvir,Rome,Magistracy,
3080,Quaestor,Rome,Magistracy,
3081,Plebeian Tribune,Rome,Magistracy,
3082,Praetor,Rome,Magistracy,
3083,Governor,Rome,Magistracy,
3088,Imperial Priest of Achaea,Rome,Sacred Official,
3089,Pontifex,Rome,Sacred Official,
3090,XV Vir Sacris Faciundis,Rome,Sacred Official,
3093,Praefectus Equitum(?),Rome,Magistracy,
3095,Ambassador to Antoninus,Rome,Magistracy,
3096,Asiarch,Rome,Magistracy,
3123,Procurator Fisci Asiatici,Rome,Magistracy,
3125,Necessarius,Rome,Membership/Rank/Title,
3131,[?] of the [?] Legion,Rome,Magistracy,
3133,Clarissimus (Lamprotatos),Rome,Membership/Rank/Title,
3134,Agonothete of the Hadrianeia,Rome,Liturgy/Benefaction,
3136,Pontifex Maximus,Rome,Sacred Official,
3137,Pater Patriae,Rome,Membership/Rank/Title,
3138,Tribunicia Postestas,Rome,Membership/Rank/Title,
3139,Mater Castrorum,Rome,Membership/Rank/Title,
3091,Son of Greece',Other/Uncertain,Membership/Rank/Title,
3107,Archon of the Panhellenion,Other/Uncertain,Other Office,
3108,Sophist,Other/Uncertain,Membership/Rank/Title,
3122,Archon of the Sacred Gerousia,Other/Uncertain,Sacred Official,
3124,Sophistic Chair,Other/Uncertain,Membership/Rank/Title,
3129,Rhetor,Other/Uncertain,Membership/Rank/Title,
