ID,IE,Title,Object Type,Inscription Type,Suspected Location,Low Date,High Date,Date,Date Span,Low Date Uncertain,High Date Uncertain,Notes,ID_b,Letter Height (m),Avg,Order,Notes_b,id,text,clean,clean_char_count,clean_word_count,diplomatic,diplomatic_char_count,diplomatic_word_count
267,267,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-100,-75,-87.5,25,FALSE,FALSE,,267,0.008,,1,,267,"[— — — — — — — — — — — — — — —]
          
          
            
              col. I
            
            {²in corona:}²
          
          
            
              
            
            [ἡ βουλὴ]
          
          
            
              
            
            [ὁ δῆμος]
          
          
            
              
            
            [κανηφο]-
          
          
            
              
            
            [ρήσασαν]
          
          
            
              5
            
            [— — —]
          
          
            
              
            
            [․]Σ̣ v[   ]
          
          
            
              
            
             
          
          
            
              
            
            {²in corona:}²
          
          
            
              7
            
            ἡ βουλὴ
          
          
            
              
            
            ὁ δῆμος
          
          
            
              
            
            κανηφο-
          
          
            
              10
            
            ρήσασαν
          
          
            
              
            
            Ἀσκληπι-
          
          
            
              
            
            ῶ%⁸⁰ι
          
          
            
              
            
             
          
          
            
              col. II
            
            {²in corona:}²
          
          
            
              13
            
            ἡ [βουλὴ]
          
          
            
              
            
            ὁ δῆμ[ος]
          
          
            
              15
            
            κανηφορή-
          
          
            
              
            
            σασαν Μη-
          
          
            
              
            
            τ[ρ]ὶ θεῶν
          
          
            
              
            
             
          
          
            
              
            
            {²in corona:}²
          
          
            
              18
            
            ἡ βουλὴ
          
          
            
              
            
            ὁ δῆμος
          
          
            
              20
            
            κανηφορήσα-
          
          
            
              
            
            σαν Ἀφρο-
          
          
            
              
            
            <⁶¹δίτηι>⁶¹ Ἀλω-
          
          
            
              
            
            πεκῆσι
          
          
            
              24
            
                                        ἐπὶ ἱ[ερείας]
          
          
            
              25
            
            Ἀμεινοκλείας τῆς Φιλ̣[άνθου Φυλασίου θυγατρός].
          
          
            
              
            
                                           {²corona}²", : ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν Σ̣ : ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν Ἀσκληπι ῶ⁰ι : ἡ βουλὴ ὁ δῆμος κανηφορή σασαν Μη τρὶ θεῶν : ἡ βουλὴ ὁ δῆμος κανηφορήσα σαν Ἀφρο δίτηι Ἀλω πεκῆσι ἐπὶ ἱερείας Ἀμεινοκλείας τῆς Φιλ̣άνθου Φυλασίου θυγατρός ,239,45, Σ̣ ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν Ἀσκληπι ῶ⁰ι ἡ ὁ δῆμ κανηφορή σασαν Μη τὶ θεῶν ἡ βουλὴ ὁ δῆμος κανηφορήσα σαν Ἀφρο Ἀλω πεκῆσι ἐπὶ ἱ Ἀμεινοκλείας τῆς Φιλ̣ ,156,31
268,268,Statue Base for Ameinokleia Philanthou Phylasiou,Base,Dedication,,-100,-75,-87.5,25,FALSE,FALSE,,268,0.025,,2,,268,"1
            
            ἱέρειαν Δήμητρος καὶ Κ̣[όρης Ἀμεινόκλειαν]
          
          
            
              
            
            Φιλάνθου Φυλασίο[υ θυγατέρα οἱ υἱοὶ]
          
          
            
              
            
            Θεόφιλος καὶ Φιλάνθη[ς καὶ Διοπείθης]
          
          
            
              
            
                  καὶ ἡ θυγάτηρ Εὐρ[υδίκη].", ἱέρειαν Δήμητρος καὶ Κ̣όρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη,135,19, ἱέρειαν Δήμητρος καὶ Κ̣ Φιλάνθου Φυλασίο Θεόφιλος καὶ Φιλάνθη καὶ ἡ θυγάτηρ Εὐρ,80,13
269,269,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,-100,-75,-87.5,25,TRUE,TRUE,,269,0.0175,TRUE,3,,269,"1
            
            [— — — — —]ρίδου̣ [Δεκελεέως]
          
          
            
              
            
            [θυγατέρ]α̣ v ὁ πατ̣[ὴρ — —ρίδης — —]
          
          
            
              
            
            [— — Δεκ]ελεεὺ[ς καὶ ἡ μήτηρ — — —]
          
          
            
              
            
            [— — Μο]σ̣χίωνος [demoticum θυγάτηρ]
          
          
            
              5
            
            [ἀφ’ ἑσ]τίας μ[υηθεῖσαν]
          
          
            
              
            
            [Δήμητρι] καὶ Κόρ[ηι ἀνέθηκαν].", ρίδου̣ Δεκελεέως θυγατέρα̣ ὁ πατ̣ὴρ ρίδης Δεκελεεὺς καὶ ἡ μήτηρ Μοσ̣χίωνος θυγάτηρ ἀφ’ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν,131,19, ρίδου̣ α̣ ὁ πατ̣ ελεεὺ σ̣χίωνος τίας μ καὶ Κόρ,47,10
270,270,"Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus",Base,Dedication,,-90,-80,-85,10,FALSE,FALSE,,270,0.016,,4,,270,"1
            
            Διονύσιος v Διονυσίου Σφήτ[τιος]
          
          
            
              
            
            καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίο[υ]
          
          
            
              
            
            θυγάτηρ v Ἐπιφάνειαν v Ἀθηναγόρου
          
          
            
              
            
            Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα-
          
          
            
              5
            
            τριδῆν μυηθεῖσαν ἀφ’ ἑστίας Δήμητρι καὶ
          
          
            
              
            
            Κόρηι ἀνέθηκαν.", Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ’ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν,183,23, Διονύσιος Διονυσίου Σφήτ καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίο θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ’ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν,178,23
271,271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-76,-70,-73,6,FALSE,FALSE,,271,0.007,TRUE,5,,271,"[— — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — —]
          
          
            
              
            
            [— — — — — — τῆι πόλει] τ̣ῆι Ἀθηναίων π̣ερ[ι — — — — — — — — — — — — — — —]
          
          
            
              
            
            [— — — — — — — — —]․νδιων ἀπαλλαγέντ̣ε̣ς το[— — — — — — — — — — — —]
          
          
            
              
            
            [— — — — — — — — ἄν]θ̣ρωποι διεξαγωγὴν τῶν μ̣ὲν [— — — — — — — — — — —]
          
          
            
              
            
            [— — — — — παράδ]ο̣σιν ἐποιήσατο, θυσίας δὲ καὶ μυστή̣ρια κ[αὶ — — — — — — —]
          
          
            
              5
            
            [καὶ ἀγῶνας θυμελ]ι̣κούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψ̣η̣[φίσατο ․․․c.7․․․․]
          
          
            
              
            
            [․․․․c.8․․․․ καὶ ἡ σύ]ν̣οδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸ[ς — — c.13 — —]
          
          
            
              
            
            [․․․6․․․ αὐτ]ῶι συναύξουσα καθ’ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τ̣ὰ̣ [ἐ]ψη[φ]-
          
          
            
              
            
            [ισμένα ὑ]π’ αὐτ[οῦ] τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύε[ιν]
          
          
            
              
            
            [καὶ σπένδ]ειν τῆι  Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσ[αμ]-
          
          
            
              10
            
            [ένη καὶ] τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖ<ν>· ὧν ἐπισχ̣-
          
          
            
              
            
            [εθέντ]ω̣ν ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρε-
          
          
            
              
            
            [θέντ]ο̣ς διὰ τὴν κοινὴν περίστασιν v Φιλήμων ἐπιμελητὴς τὸ [τρ]ίτ̣-
          
          
            
              
            
            [ον γ]ενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτ[ή]σ̣α̣-
          
          
            
              
            
            [το τὰς] πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας [ἐ]ν Ἐ-
          
          
            
              15
            
            [λευσ]ῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορη-
          
          
            
              
            
            [γίαν] ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων, v
          
          
            
              
            
            [προσ]εμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ
          
          
            
              
            
            [πάσ]αις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέ%⁸⁰-
          
          
            
              
            
            [ρων] σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν,
          
          
            
              20
            
            [ὧ]ν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν
          
          
            
              
            
            [α]ὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ
          
          
            
              
            
            τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀ̣νε[μ]-
          
          
            
              
            
            ποδίστως κατ’ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας, ὁ δὲ καὶ διὰ τὴ[ν]
          
          
            
              
            
            πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε-
          
          
            
              25
            
            τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελεία̣ς ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι v
          
          
            
              
            
            συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο v
          
          
            
              
            
            καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν κα-
          
          
            
              
            
            θιδρύσατο, προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπα-
          
          
            
              
            
            νορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί%⁸⁰%⁸⁰-
          
          
            
              30
            
            νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν, ὥστε
          
          
            
              
            
            μὴ μόνον εἰς [ἃ]ς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας, ἀλλὰ καὶ
          
          
            
              
            
            ε̣ἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι
          
          
            
              
            
            προσόδους· βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον
          
          
            
              
            
            ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ-
          
          
            
              35
            
            τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας
          
          
            
              
            
            ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ’ οὗ
          
          
            
              
            
            ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξά-
          
          
            
              
            
            μενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς, προσε̣-
          
          
            
              
            
            μέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά-
          
          
            
              40
            
            σ̣αις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν·
          
          
            
              
            
            [πολλὰ δ]ὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ
          
          
            
              
            
            [προσεδαπάνησεν] ἐ̣κ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις
          
          
            
              
            
            [— — — — — — — προκρίνω]ν τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήμα-
          
          
            
              
            
            [τος — — — — — — — — — — — — —] ο̣ὐ μόνον δὲ πρὸς τὴν σύνοδον
          
          
            
              45
            
            [— — — — — — — — — — — — — — — — —] δ̣ιακείμενος ἀποδο[χ]-
          
          
            
              
            
            [ῆς — — ἠξιώθη — — — — — — — — — — — ἐκ τῶ]ν νόμων καὶ
          
          
            
              
            
            [— — — — — — — — — — — — — — — — — — — — — — — —]AIMEN
          
          
            
              
            
            [— — — — — — — — — — — — — — — — — — — — — — — — — —]", τῆι πόλει τ̣ῆι Ἀθηναίων π̣ερι νδιων ἀπαλλαγέντ̣ε̣ς το ἄνθ̣ρωποι διεξαγωγὴν τῶν μ̣ὲν παράδο̣σιν ἐποιήσατο θυσίας δὲ καὶ μυστή̣ρια καὶ καὶ ἀγῶνας θυμελι̣κούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψ̣η̣φίσατο καὶ ἡ σύν̣οδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸς αὐτῶι συναύξουσα καθ’ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τ̣ὰ̣ ἐψηφ ισμένα ὑπ’ αὐτοῦ τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύειν καὶ σπένδειν τῆι Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσαμ ένη καὶ τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖν ὧν ἐπισχ̣ εθέντω̣ν ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρε θέντο̣ς διὰ τὴν κοινὴν περίστασιν Φιλήμων ἐπιμελητὴς τὸ τρίτ̣ ον γενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτήσ̣α̣ το τὰς πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας ἐν Ἐ λευσῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορη γίαν ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων προσεμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ πάσαις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέ⁰ ρων σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν ὧν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν αὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀ̣νεμ ποδίστως κατ’ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας ὁ δὲ καὶ διὰ τὴν πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελεία̣ς ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν κα θιδρύσατο προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπα νορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί⁰⁰ νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν ὥστε μὴ μόνον εἰς ἃς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας ἀλλὰ καὶ ε̣ἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι προσόδους βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ’ οὗ ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξά μενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς προσε̣ μέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά σ̣αις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν πολλὰ δὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ προσεδαπάνησεν ἐ̣κ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις προκρίνων τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήμα τος ο̣ὐ μόνον δὲ πρὸς τὴν σύνοδον δ̣ιακείμενος ἀποδοχ ῆς ἠξιώθη ἐκ τῶν νόμων καὶ ,2720,435, τ̣ῆι Ἀθηναίων π̣ερ ․νδιων ἀπαλλαγέντ̣ε̣ς το θ̣ρωποι διεξαγωγὴν τῶν μ̣ὲν ο̣σιν ἐποιήσατο θυσίας δὲ καὶ μυστή̣ρια κ ι̣κούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψ̣η̣ ν̣οδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸ ῶι συναύξουσα καθ’ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τ̣ὰ̣ ψη π’ αὐτ τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύε ειν τῆι Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσ τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖ ὧν ἐπισχ̣ ω̣ν ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρε ο̣ς διὰ τὴν κοινὴν περίστασιν Φιλήμων ἐπιμελητὴς τὸ ίτ̣ ενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτσ̣α̣ πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας ν Ἐ ῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορη ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων εμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ αις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέ⁰ σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν ν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν ὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀ̣νε ποδίστως κατ’ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας ὁ δὲ καὶ διὰ τὴ πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελεία̣ς ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν κα θιδρύσατο προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπα νορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί⁰⁰ νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν ὥστε μὴ μόνον εἰς ς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας ἀλλὰ καὶ ε̣ἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι προσόδους βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ’ οὗ ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξά μενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς προσε̣ μέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά σ̣αις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν ὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ ἐ̣κ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις ν τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήμα ο̣ὐ μόνον δὲ πρὸς τὴν σύνοδον δ̣ιακείμενος ἀποδο ν νόμων καὶ ,2534,414
684,272,"Statue Base for Eusebeia, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-75,-65,-70,10,TRUE,FALSE,,684,0.022,TRUE,6,,684,"1
            
            Ἰσιὰς Ἀσκλη-
          
          
            
              
            
            πιῶι εὐχήν.", Ἰσιὰς Ἀσκλη πιῶι εὐχήν,23,4, Ἰσιὰς Ἀσκλη πιῶι εὐχήν,23,4
685,272,"Statue Base for Athenais, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-75,-65,-70,10,TRUE,FALSE,,685,0.022,TRUE,7,,685,"1
            
            {²in corona:}²
          
          
            
              
            
            Εἰσίδοτος
          
          
            
              
            
            Παρρασίου
          
          
            
              
            
            Φυλάσιος ἱε-
          
          
            
              
            
            ρατεύων ἀνε-
          
          
            
              5
            
            θηκεν.
          
          
            
              
            
             
          
          
            
              
            
            {²infra coronam:}²
          
          
            
              6
            
            Ὀρθραγόρας Εἰσιδότου
          
          
            
              
            
            Φυλάσιος κλειδοῦχος.", : Εἰσίδοτος Παρρασίου Φυλάσιος ἱε ρατεύων ἀνε θηκεν : Ὀρθραγόρας Εἰσιδότου Φυλάσιος κλειδοῦχος,95,13, Εἰσίδοτος Παρρασίου Φυλάσιος ἱε ρατεύων ἀνε θηκεν Ὀρθραγόρας Εἰσιδότου Φυλάσιος κλειδοῦχος,91,11
686,272,"Statue Base for Athenais, Daughter of King Ariobarzanes I of Cappadocia",Base,Dedication,,-75,-65,-70,10,TRUE,FALSE,,686,0.0245,TRUE,8,,686,"[— — — — — — — — —]
          
          
            
              
            
            [— —]#⁷ π̣αῖδας̣ ἀν[— —]
          
          
            
              
            
            [— —]ΕΒΗΑΣΙΝΕ[— — —]
          
          
            
              
            
            [— — — —]Ο̣Υ̣[— — — —]
          
          
            
              
            
            [— — — — — — — — —]", π̣αῖδας̣ ἀν ΕΒΗΑΣΙΝΕ Ο̣Υ̣ ,27,4, π̣αῖδας̣ ἀν ΕΒΗΑΣΙΝΕ Ο̣Υ̣ ,27,4
687,272,"Statue Base for King Ariobarzanes II, Son of King Ariobarzanes I, of Cappadocia",Base,Dedication,,-75,-65,-70,10,TRUE,FALSE,,687,0.0245,TRUE,9,,,,,,,,,
273,273,"Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus",Stele,Dedication,,-75,-65,-70,10,FALSE,FALSE,,273,0.02,,10,,273,"1
            
            Μήδειος Μηδείου Πειραιεὺς
          
          
            
              
            
            καὶ Διφίλα Διοκλέους Μελιτέως
          
          
            
              
            
            θυγάτηρ τὴν θυγατέρα Τιμοθέαν
          
          
            
              
            
            μυηθεῖσαν ἀφ’ ἑστίας
          
          
            
              5
            
            Δήμητρι καὶ Κόρηι ἀνέθηκαν.", Μήδειος Μηδείου Πειραιεὺς καὶ Διφίλα Διοκλέους Μελιτέως θυγάτηρ τὴν θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ’ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν,134,18, Μήδειος Μηδείου Πειραιεὺς καὶ Διφίλα Διοκλέους Μελιτέως θυγάτηρ τὴν θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ’ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν,134,18
