ID,Text,Clean Text,Diplomatic Text
686,"[— — — — — — — — —]
          
          
            
              
            
            [— —]#⁷ π̣αῖδας̣ ἀν[— —]
          
          
            
              
            
            [— —]ΕΒΗΑΣΙΝΕ[— — —]
          
          
            
              
            
            [— — — —]Ο̣Υ̣[— — — —]
          
          
            
              
            
            [— — — — — — — — —]",π̣αῖδας̣ ἀν ΕΒΗΑΣΙΝΕ Ο̣Υ̣,π̣αῖδας̣ ἀν ΕΒΗΑΣΙΝΕ Ο̣Υ̣
685,"1
            
            {²in corona:}²
          
          
            
              
            
            Εἰσίδοτος
          
          
            
              
            
            Παρρασίου
          
          
            
              
            
            Φυλάσιος ἱε-
          
          
            
              
            
            ρατεύων ἀνε-
          
          
            
              5
            
            θηκεν.
          
          
            
              
            
             
          
          
            
              
            
            {²infra coronam:}²
          
          
            
              6
            
            Ὀρθραγόρας Εἰσιδότου
          
          
            
              
            
            Φυλάσιος κλειδοῦχος.",: Εἰσίδοτος Παρρασίου Φυλάσιος ἱε ρατεύων ἀνε θηκεν : Ὀρθραγόρας Εἰσιδότου Φυλάσιος κλειδοῦχος,Εἰσίδοτος Παρρασίου Φυλάσιος ἱε ρατεύων ἀνε θηκεν Ὀρθραγόρας Εἰσιδότου Φυλάσιος κλειδοῦχος
684,"1
            
            Ἰσιὰς Ἀσκλη-
          
          
            
              
            
            πιῶι εὐχήν.",Ἰσιὰς Ἀσκλη πιῶι εὐχήν,Ἰσιὰς Ἀσκλη πιῶι εὐχήν
683,"1
            
            Εὐφρόσυνος
          
          
            
              
            
            Ἱεροφάντου ζα-
          
          
            
              
            
            κορεύων Ἀσκλη-
          
          
            
              
            
            πιοῦ καὶ Ὑγίας
          
          
            
              5
            
            ἀνέθηκεν τὸ π-
          
          
            
              
            
            ρόναον καὶ τὸ-
          
          
            
              
            
            ν οἶκον ἐπὶ Κα-
          
          
            
              
            
            λλικρατίδου
          
          
            
              
            
            ἄρχοντος.",Εὐφρόσυνος Ἱεροφάντου ζα κορεύων Ἀσκλη πιοῦ καὶ Ὑγίας ἀνέθηκεν τὸ π ρόναον καὶ τὸ ν οἶκον ἐπὶ Κα λλικρατίδου ἄρχοντος,Εὐφρόσυνος Ἱεροφάντου ζα κορεύων Ἀσκλη πιοῦ καὶ Ὑγίας ἀνέθηκεν τὸ π ρόναον καὶ τὸ ν οἶκον ἐπὶ Κα λλικρατίδου ἄρχοντος
682,"1
            
            ἐπὶ Ἱέρωνος ἄρχοντος οἱ θιασῶ[τ]αι Ἀσ-
          
          
            
              
            
            κ̣ληπιῶι καὶ Ὑγιείαι
          
          
            
              col. I.3
            
            [Μ]ένης
          
          
            
              
            
            [․]#⁷Ι[— —]
          
          
            
              5
            
            [— — — —]
          
          
            
              
            
            [— — — —]
          
          
            
              
            
             
          
          
            
              col. II.3
            
            Θάλλος
          
          
            
              
            
            Νικόμαχος
          
          
            
              5
            
            [․․]η[․․․․]ς
          
          
            
              
            
            [— — — —]",ἐπὶ Ἱέρωνος ἄρχοντος οἱ θιασῶται Ἀσ κ̣ληπιῶι καὶ Ὑγιείαι Μένης Ι Θάλλος Νικόμαχος ης,ἐπὶ Ἱέρωνος ἄρχοντος οἱ θιασῶαι Ἀσ κ̣ληπιῶι καὶ Ὑγιείαι ένης Ι Θάλλος Νικόμαχος ης
681,"1
            
            Ἐπικράτης
          
          
            
              
            
            Παμφίλου
          
          
            
              
            
            Λευκονοιεὺς
          
          
            
              
            
            Ἀσκληπιῶι.",Ἐπικράτης Παμφίλου Λευκονοιεὺς Ἀσκληπιῶι,Ἐπικράτης Παμφίλου Λευκονοιεὺς Ἀσκληπιῶι
680,"1
            
            Ἀπατούρι-
          
          
            
              
            
            ος Ἀσκληπι-
          
          
            
              
            
            ο͂ι εὐξάμενο-
          
          
            
              
            
            ς ἀνέθηκεν.",Ἀπατούρι ος Ἀσκληπι οι εὐξάμενο ς ἀνέθηκεν,Ἀπατούρι ος Ἀσκληπι οι εὐξάμενο ς ἀνέθηκεν
679,"1
            
            ὅρος
          
          
            
              
            
            ὁδοῦ.",ὅρος ὁδοῦ,ὅρος ὁδοῦ
678,"1
            
            ὅρος
          
          
            
              
            
            ὁδοῦ.",ὅρος ὁδοῦ,ὅρος ὁδοῦ
677,"1
            
            ὅρος ℎιε-
          
          
            
              
            
            ρο͂ Ἀπόλλ-
          
          
            
              
            
            ωνος.",ὅρος ℎιε ρο Ἀπόλλ ωνος,ὅρος ℎιε ρο Ἀπόλλ ωνος
