my_id,title,origin,type,notes
1000,Areopagus,Athens,Public,
1001,Boule,Athens,Public,
1002,Demos,Athens,Public,
1003,Tribe of Antiochis,Athens,Public,
1004,Dionysiac Technitai,Athens,Private,
1005,Sophiai,Other,Private,
1006,Philoi,Other,Private,
1007,Xenoi,Other,Private,
1008,Samian Haloa,Samos,Public,
1009,Boule of Korinth,Corinth,Public,
1010,Samian Demos,Samos,Public,
1011,Areopagus of Ephesus,Ephesus,Public,
1012,Panhellenes,Other,Public,
1013,Sacred Gerousia,Other,Public,
1014,Ephebes,Athens,Public,
1015,Eumolpidai,Eleusis,Genos,
1016,Kerykes,Eleusis,Genos,
1017,Lykomidai,Athens,Genos,
1018,Philleidai,Eleusis,Genos,
1019,Bouzygai,Athens,Genos,
1020,Praxiergidai,Athens,Genos,
1021,Imperial Family,Rome,Private,
1022,SPQR,Rome,Public,
1023,Eteoboutadai,Athens,Genos,
1024,Samian Boule,Samos,Public,
