id,inst_id,inscript_id,role,notes
3,1000,271,,
21,1000,295,Sponsor,
32,1000,312,Sponsor,
33,1000,323,Sponsor,
36,1000,324,Sponsor,
42,1000,327,Sponsor,
46,1000,334,Sponsor,
49,1000,335,Sponsor,
54,1000,340,Sponsor,
58,1000,345,Sponsor,
61,1000,348,Sponsor,
64,1000,349,Sponsor,
68,1000,351,Sponsor,
71,1000,352,Sponsor,
74,1000,353,Sponsor,
78,1000,360,,
80,1000,362,Sponsor,
83,1000,372,Sponsor,
84,1000,377,,
85,1000,378,Sponsor,
89,1000,383,Sponsor,
92,1000,389,Sponsor,
97,1000,402,Sponsor,
100,1000,410,Sponsor,
102,1000,414,Sponsor,
107,1000,427,Sponsor,
113,1000,439,Sponsor,
114,1000,440,Sponsor,
117,1000,441,Sponsor,
120,1000,445,,
123,1000,455,Sponsor,
130,1000,463,,"Check into this one, whether it is the Athenian Areopagus referred to here which is recognizing and amplifying a motion by the Ephesian polis, or whether it is the Ephesian Areopagus"
134,1000,472,Officer,
135,1000,483,Sponsor,
139,1000,487,Sponsor,
140,1000,488,Sponsor,
141,1000,490,Sponsor,
145,1000,492,Sponsor,
149,1000,493,Sponsor,
153,1000,503,Sponsor,
165,1000,519,Sponsor,
170,1000,522,Sponsor,
174,1000,528,Sponsor,
175,1000,529,Sponsor,
178,1000,539,Sponsor,
181,1000,542,Officer,
182,1000,543,Officer,
183,1000,544,Officer,
189,1000,558,Sponsor,
192,1000,570,Sponsor,
195,1000,571,Sponsor,
198,1000,572,Sponsor,
200,1000,573,Sponsor,
203,1000,574,Sponsor,
205,1000,576,Sponsor,
208,1000,579,Sponsor,
209,1000,587,Sponsor,
210,1000,588,Sponsor,
215,1000,596,Officer,
217,1000,604,Sponsor,
222,1000,620,Sponsor,
225,1000,621,,
227,1000,623,Sponsor,
232,1000,626,Sponsor,
235,1000,626,Officer,
236,1000,630,Sponsor,
239,1000,632,Sponsor,
242,1000,633,Sponsor,
243,1000,634,Sponsor,
244,1000,635,Sponsor,
246,1000,638,Sponsor,
251,1000,645,Sponsor,
254,1000,654,Sponsor,
257,1000,655,,
262,1000,662,Sponsor,
264,1000,667,Sponsor,
270,1000,682,Sponsor,
272,1000,689,Officer,
275,1000,691,Sponsor,
278,1000,692,Sponsor,
281,1000,693,Sponsor,
284,1000,694,Sponsor,
287,1000,695,Sponsor,
290,1000,696,Sponsor,
1,1001,267,Sponsor,Need to mark non sponsor-ship roles (esp. member/officer)
4,1001,271,,
7,1001,274,Sponsor,
8,1001,275,Sponsor,
13,1001,282,Sponsor,
15,1001,283,Sponsor,
22,1001,295,Sponsor,
25,1001,300,Sponsor,
29,1001,305,Sponsor,
34,1001,323,Sponsor,
37,1001,324,Sponsor,
44,1001,329,Sponsor,
47,1001,334,Sponsor,
50,1001,335,Sponsor,
55,1001,340,Sponsor,
59,1001,345,Sponsor,
62,1001,348,Sponsor,
65,1001,349,Sponsor,
69,1001,351,Sponsor,
72,1001,352,Sponsor,
75,1001,353,Sponsor,
81,1001,362,Sponsor,
86,1001,378,Sponsor,
90,1001,383,Sponsor,
93,1001,389,Sponsor,
95,1001,394,Sponsor,
98,1001,402,Sponsor,
103,1001,414,Sponsor,
108,1001,427,Sponsor,
115,1001,440,Sponsor,
118,1001,441,Sponsor,
124,1001,455,Sponsor,
136,1001,483,Sponsor,
146,1001,492,Sponsor,
151,1001,502,,
154,1001,503,Sponsor,
166,1001,519,Sponsor,
172,1001,523,Officer,
179,1001,539,Sponsor,
187,1001,551,,"Check this, possibly a reference to the sacred council"
190,1001,558,Sponsor,
193,1001,570,Sponsor,
196,1001,571,Sponsor,
201,1001,573,Sponsor,
206,1001,577,Sponsor,
207,1001,578,Sponsor,
211,1001,588,Sponsor,
218,1001,604,Sponsor,
223,1001,620,Sponsor,
233,1001,626,Sponsor,
237,1001,630,Sponsor,
240,1001,632,Sponsor,
245,1001,636,Sponsor,
247,1001,638,Sponsor,
252,1001,645,Sponsor,
255,1001,654,Sponsor,
258,1001,655,,
273,1001,689,Officer,
276,1001,691,Sponsor,
279,1001,692,Sponsor,
282,1001,693,Sponsor,
285,1001,694,Sponsor,
288,1001,695,Sponsor,
291,1001,696,Sponsor,
293,1001,697,,
294,1001,698,,
2,1002,267,Sponsor,
5,1002,271,,
9,1002,275,Sponsor,
11,1002,276,Sponsor,
12,1002,280,Sponsor,
14,1002,282,Sponsor,
16,1002,285,Sponsor,
17,1002,286,Sponsor,
18,1002,288,Sponsor,
19,1002,289,Sponsor,
20,1002,292,Sponsor,
23,1002,295,Sponsor,
24,1002,298,Sponsor,
26,1002,300,Sponsor,
28,1002,302,Sponsor,
30,1002,305,Sponsor,
31,1002,308,Sponsor,
35,1002,323,Sponsor,
38,1002,324,Sponsor,
40,1002,325,Sponsor,
41,1002,326,Sponsor,
43,1002,327,Sponsor,
45,1002,330,Sponsor,
48,1002,334,Sponsor,
51,1002,335,Sponsor,
56,1002,340,Sponsor,
57,1002,341,,
60,1002,345,Sponsor,
63,1002,348,Sponsor,
66,1002,349,Sponsor,
70,1002,351,Sponsor,
73,1002,352,Sponsor,
76,1002,353,Sponsor,
79,1002,360,,
82,1002,362,Sponsor,
88,1002,381,Sponsor,
91,1002,383,Sponsor,
94,1002,389,Sponsor,
96,1002,396,Sponsor,
99,1002,402,Sponsor,
101,1002,410,Sponsor,
104,1002,414,Sponsor,
105,1002,421,Sponsor,
106,1002,426,,
116,1002,440,Sponsor,
125,1002,455,Sponsor,
137,1002,483,Sponsor,
147,1002,492,Sponsor,
155,1002,503,Sponsor,
164,1002,517,Sponsor,
167,1002,519,Sponsor,
171,1002,522,Sponsor,
173,1002,523,Officer,
180,1002,539,Sponsor,
191,1002,558,Sponsor,
194,1002,570,Sponsor,
197,1002,571,Sponsor,
199,1002,572,Sponsor,
202,1002,573,Sponsor,
204,1002,575,Sponsor,
212,1002,588,Sponsor,
216,1002,601,Sponsor,
219,1002,604,Sponsor,
220,1002,605,,
224,1002,620,Sponsor,
234,1002,626,Sponsor,
238,1002,630,Sponsor,
241,1002,632,Sponsor,
248,1002,638,Sponsor,
253,1002,645,Sponsor,
256,1002,654,Sponsor,
259,1002,655,,
260,1002,660,Sponsor,
265,1002,677,Sponsor,
266,1002,678,Sponsor,
267,1002,679,Sponsor,
268,1002,680,Sponsor,
269,1002,681,Sponsor,
271,1002,682,Sponsor,
274,1002,689,Officer,
277,1002,691,Sponsor,
280,1002,692,Sponsor,
283,1002,693,Sponsor,
286,1002,694,Sponsor,
289,1002,695,Sponsor,
292,1002,696,Sponsor,
295,1002,703,Sponsor,
296,1002,704,Sponsor,
160,1003,514,Sponsor,
6,1004,271,Sponsor,
133,1005,470,Sponsor,
152,1005,502,,
214,1006,589,Sponsor,
158,1007,511,,
109,1008,435,,
112,1009,438,Sponsor,
129,1010,457,Sponsor,
131,1011,463,,"Check into this one, whether it is the Athenian Areopagus referred to here which is recognizing and amplifying a motion by the Ephesian polis, or whether it is the Ephesian Areopagus"
121,1012,448,Sponsor,
122,1012,453,,
143,1012,491,Sponsor,
144,1012,491,Officer,
150,1012,495,Member,
157,1012,504,Officer,
161,1012,514,Officer,
177,1012,532,Sponsor,
156,1013,503,,
229,1013,624,Sponsor,
249,1014,638,,
10,1015,275,,
39,1015,324,Sponsor,
