ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2000,UNC Kanephoros,Athens,Male,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2001,Ameinokleia Philanthou,Athens,Female,TRUE,FALSE,,,,,,Ameinokleia,Philanthou,Phyle,,FALSE,,,,,
2002,Theophilos,Athens,Male,TRUE,FALSE,,,,,,Theophilos,Diodorou,Halai Aixonides,,FALSE,,,,,
2003,Philanthes,Athens,Male,TRUE,FALSE,,,,,,Philanthes,Diodorou,Halai Aixonides,,FALSE,,,,,
2004,Diopeithes,Athens,Male,TRUE,FALSE,,,,,,Diopeithes,Diodorou,Halai Aixonides,,FALSE,,,,,
2005,Eurydike,Athens,Female,TRUE,FALSE,,,,,,Eurydike,Diodorou,Halai Aixonides,,FALSE,,,,,
2006,[?] Heath-Initiate,Athens,Uncertain,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2007,[?] Father,Athens,Male,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2008,[?] Mother,Athens,Female,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2009,Dionysios Dionysiou,Athens,Male,TRUE,FALSE,,,,,,Dionysios,Dionysiou,Sphettos,,FALSE,,,,,
2010,Epiphaneia Hermolykou,Athens,Female,TRUE,FALSE,Athenagoridai,,,,,Epiphaneia,Hermolykou,Marathon,,FALSE,,,,,
2011,Epiphaneia II Athenagorou,Athens,Female,TRUE,FALSE,Athenagoridai,,,,,Epiphaneia,Athenagorou,Melite,,FALSE,,,,,
2012,Philemon,Athens,Male,TRUE,FALSE,,,,,,Philemon,,,,FALSE,,,,,
2013,Eusebeia Ariobarzanou,Cappadocia,Female,FALSE,FALSE,Ariobarzanid,,,,,Eusebeia,,,,FALSE,,,,,
2014,Ariobarzanes II Ariobarzanou I,Cappadocia,Male,FALSE,FALSE,Ariobarzanid,,,,,Aribarzanes,,,,FALSE,,,,,
