person_id,inscript_id,role,notes
2000,267,Honoree,
2001,267,,
2001,268,Honoree,
2002,268,Sponsor,
2003,268,Sponsor,
2004,268,Sponsor,
2005,268,Sponsor,
2006,269,Honoree,
2007,269,Sponsor,
2008,269,Sponsor,
2009,270,Sponsor,
2010,270,Sponsor,
2011,270,Honoree,
2012,271,Honoree,
2013,684,Honoree,
2014,684,,
2014,685,,
2014,687,Honoree,
2015,684,,
2015,685,,
2015,686,Honoree,
2016,684,,
2016,685,,
2016,686,,
2016,687,,
2017,684,,
2017,685,,
2017,686,,
2017,687,,
2018,685,Honoree,
2019,273,Sponsor,
2019,275,Honoree,
2020,273,Sponsor,
2021,273,Honoree,
2022,274,Honoree,
2023,276,Honoree,
2024,277,Sponsor,
2024,278,Sponsor,
2025,277,Honoree,
2025,278,,
2025,300,,
2026,275,,
2026,279,,
2026,281,,
2026,282,,
2027,280,Honoree,
2028,282,,
2029,282,Honoree,
2030,283,Honoree,
2031,284,,
2032,285,Honoree,
2033,286,Honoree,
2034,287,,
2035,287,,
2036,287,,
2037,288,Honoree,
2038,289,Honoree,
2039,290,,
2040,290,,
2041,290,,
2042,675,Sponsor,
2042,676,Sponsor,
2042,678,Honoree,
2043,675,Honoree,
2043,676,,
2043,677,,
2043,678,,
2044,676,Honoree,
2045,677,Honoree,
2046,292,Honoree,
2047,292,,
2048,293,,
2049,294,Honoree,
2050,295,Honoree,
2050,297,Sponsor,
2051,703,Honoree,
2052,297,Honoree,
2052,704,Honoree,
2054,298,Honoree,
2054,300,,
2054,302,,
2054,679,Honoree,
2054,680,,
2054,681,,
2055,299,Honoree,
2056,299,Sponsor,
2057,299,Sponsor,
2058,300,,
2059,300,,
2060,300,,
2061,300,,
2062,300,,
2063,300,,
2064,300,,
2065,300,,
2066,300,,
2067,300,,
2068,300,,
2069,300,,
2070,300,,
2071,300,,
2072,300,,
2073,300,,
2074,300,,
2075,300,,
2076,300,,
2077,300,,
2078,300,,
2079,300,,
2080,300,,
2081,300,,
2082,300,,
2083,300,,
2084,300,,
2085,300,,
2085,346,,
2086,300,,
2087,300,,
2088,300,,
2089,300,,
2090,300,,
2091,300,Honoree,
2091,302,,
2091,348,,
2091,349,,
2091,679,,
2091,680,Honoree,
2092,300,,
2093,300,,
2094,300,,
2095,300,,
2096,300,,
2097,300,,
2098,300,,
2099,300,,
2100,300,,
2101,300,,
2102,300,,
2103,303,,
2103,681,Honoree,
2104,302,Honoree,
2105,304,,
2106,305,Honoree,
2107,306,,
2108,307,Sponsor,
2109,307,Sponsor,
2110,307,Honoree,
2111,308,Honoree,
2112,309,,
2113,310,,
2114,312,Honoree,
2115,315,,
2116,317,,
2117,317,,
2118,318,,
2119,319,,
2120,320,,
2121,323,Honoree,
2122,324,Honoree,
2123,325,Honoree,
2124,327,Honoree,
2125,328,,
2126,328,,
2127,329,Honoree,
2128,329,Honoree,
2128,330,Honoree,
2129,330,,
2129,331,Honoree,
2129,334,Honoree,
2129,335,,
2129,344,,
2130,331,Sponsor,
2131,333,Honoree,
2132,334,,
2132,335,,
2132,341,,
2132,342,,
2132,343,,
2132,344,,
2132,358,,
2132,364,,
2133,334,,
2134,335,Honoree,
2135,335,,
2135,341,,
2135,342,,
2135,358,,
2135,364,,
2136,335,,
2137,336,,
2137,337,,
2137,338,,
2138,344,Honoree,
2139,331,,
2139,344,Sponsor,
2140,345,Honoree,
2141,346,Sponsor,
2142,682,Honoree,
2143,683,Honoree,
2144,348,Honoree,
2145,349,Honoree,
2146,350,Honoree,
2147,351,Honoree,
2148,351,,
2149,352,Honoree,
2150,353,Honoree,
2151,354,Sponsor,
2151,355,Sponsor,
2152,354,Honoree,
2153,355,,
2154,356,Honoree,
2154,361,Honoree,
2155,357,Sponsor,
2156,357,Honoree,
2156,632,,
2157,357,,
2158,357,,
2159,358,Honoree,
2160,358,Sponsor,
2161,359,Honoree,
2162,360,,
2162,362,Honoree,
2163,363,Honoree,
2164,363,Sponsor,
2165,364,Sponsor,
2166,364,Honoree,
2167,365,Honoree,
2167,367,Honoree,
2168,365,Sponsor,
2168,366,Sponsor,
2168,367,Sponsor,
2169,366,Honoree,
2170,368,,
2171,370,Honoree,
2172,370,Sponsor,
2173,371,Honoree,
2174,371,Sponsor,
2175,371,,
2175,372,,
2175,373,,
2175,374,,
2175,375,,
2175,376,,
2176,373,Honoree,
2177,373,Sponsor,
2178,373,Sponsor,
2179,374,Honoree,
2180,377,,
2181,377,Honoree,
2182,377,Sponsor,
2183,378,Honoree,
2184,379,,
2185,380,Honoree,
2186,381,Honoree,
2187,382,Honoree,
2188,382,,
2189,383,Honoree,
2190,384,Honoree,
2191,385,Honoree,
2192,386,,
2193,387,,
2194,388,,
2195,389,,
2196,389,Honoree,
2197,389,,
2198,394,Honoree,
2199,395,Honoree,
2200,395,,
2201,396,Honoree,
2202,397,Sponsor,
2203,397,Sponsor,
2204,397,Sponsor,
2205,398,Honoree,
2206,399,Honoree,
2207,399,Sponsor,
2208,399,,
2209,399,,
2210,400,,
2211,401,,
2212,402,Honoree,
2213,403,,
2214,404,,
2215,405,,
2216,406,,
2217,429,,
2218,431,Honoree,
2219,432,Sponsor,
2220,432,Honoree,
2221,688,Honoree,
2222,688,Sponsor,
2223,434,,
2223,435,,
2223,436,,
2223,437,,
2223,442,,
2223,445,Sponsor,
2223,458,,
2223,688,,
2224,434,,
2225,435,Honoree,
2226,438,Honoree,
2226,475,,
2226,476,Sponsor,
2226,477,,
2226,484,Honoree,
2226,498,,
2226,695,,
2227,438,,
2228,438,Honoree,
2229,438,Sponsor,
2230,439,Honoree,
2231,440,Honoree,
2232,440,,
2233,441,Honoree,
2234,441,,
2235,442,Sponsor,
2235,455,Honoree,
2236,442,Honoree,
2237,443,Honoree,
2238,443,Sponsor,
2239,444,Honoree,
2240,445,Honoree,
2241,446,Honoree,
2241,453,Honoree,
2241,502,,
2241,503,,
2243,448,,
2244,449,,
2245,451,,
2247,454,,
2248,454,,
2249,454,,
2250,455,Honoree,
2250,456,,
2251,455,Honoree,
2251,456,,
2252,456,Honoree,
2253,458,Honoree,
2254,458,Sponsor,
2254,464,Sponsor,
2255,458,,
2255,464,Sponsor,
2256,458,Sponsor,
2256,464,,
2257,459,Sponsor,
2258,459,Sponsor,
2259,459,,
2260,459,Honoree,
2261,460,Honoree,
2262,701,Honoree,
2263,701,,
2264,482,Honoree,
2264,495,Honoree,
2264,496,Honoree,
2264,497,Honoree,
2264,502,,
2264,503,,
2264,505,Honoree,
2264,506,,
2264,509,,
2264,510,,
2264,695,Honoree,
2264,696,Honoree,
2264,702,,
2265,702,Honoree,
2266,462,Honoree,
2267,463,Honoree,
2268,463,,
2269,463,,
2270,463,,
2271,464,Honoree,
2272,464,,
2273,465,Honoree,
2274,466,Honoree,
2275,466,Sponsor,
2276,467,Honoree,
2277,468,Honoree,
2277,478,Honoree,
2277,479,Honoree,
2277,480,,
2277,514,,
2277,520,,
2277,521,,
2277,632,,
2278,468,,
2279,468,,
2279,478,,
2279,479,,
2280,470,Honoree,
2281,470,,
2282,471,Honoree,
2283,471,Sponsor,
2284,472,Honoree,
2285,472,,
2285,478,,
2285,479,,
2285,492,,
2286,691,Honoree,
2286,692,,
2286,693,,
2286,694,,
2287,692,Honoree,
2288,693,Honoree,
2289,694,Honoree,
2290,474,Honoree,
2291,474,Sponsor,
2292,475,Honoree,
2293,475,,
2293,476,Honoree,
2293,477,,
2294,476,,
2294,477,,
2295,477,Honoree,
2296,478,,
2296,479,,
2297,480,Honoree,
2298,481,Sponsor,
2299,481,Honoree,
2300,482,Honoree,
2300,483,,
2300,484,,
2300,503,,
2300,695,Honoree,
2301,482,Sponsor,
2302,483,Honoree,
2303,483,,
2304,483,,
2305,483,,
2306,483,,
2307,483,,
2308,483,,
2309,483,,
2310,485,Honoree,
2311,485,Sponsor,
2312,487,Honoree,
2312,488,,
2313,487,,
2314,487,,
2315,487,,
2316,487,,
2316,488,Sponsor,
2317,487,,
2318,488,Honoree,
2319,697,,
2320,697,,
2321,490,Honoree,
2322,490,,
2323,490,,
2324,490,,
2325,491,Honoree,
