Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
Outer Courtyard,,267,1,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,,Greek,266,121,77,33,2,5,2,2,1,2,0,267,-100,False,-75,False,,,
Coronae or Bucrania,,267,1,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,,Greek,266,121,77,33,2,5,2,2,1,2,0,267,-100,False,-75,False,,,
Emphasis with Interpunct or Vacat,,269,3,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,-87.5,25,0.0175,True,Greek,119,33,33,13,0,1,3,2,1,3,0,269,-100,True,-75,True,,,
Bronze Cuttings,,270,4,"Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus",Base,Dedication,,-85.0,10,0.0160,,Greek,164,154,31,25,0,2,3,2,1,3,0,270,-90,False,-80,False,,,
Altered or Recut,,271,5,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,True,Greek,2289,2083,519,438,4,5,1,1,1,1,0,271,-76,False,-70,False,,,
Emphasis with Interpunct or Vacat,,271,5,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,True,Greek,2289,2083,519,438,4,5,1,1,1,1,0,271,-76,False,-70,False,,,
Coronae or Bucrania,,274,11,Dedication in Honor of a Tamias,Base,Dedication,,-61.5,1,0.0095,True,Greek,48,26,21,12,1,1,1,1,1,1,0,274,-62,False,-61,False,,,
Path to Telesterion,,275,12,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,,Greek,243,233,52,46,3,2,2,2,1,2,0,275,-65,False,-55,False,,,
Bronze Cuttings,,275,12,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,,Greek,243,233,52,46,3,2,2,2,1,2,0,275,-65,False,-55,False,,,
Emphasis with Interpunct or Vacat,,275,12,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,,Greek,243,233,52,46,3,2,2,2,1,2,0,275,-65,False,-55,False,,,
No Abbreviation,,276,13,Statue Base for Titus Pinarius,Base,Dedication,,-50.0,10,,,Greek,40,39,10,10,1,0,1,1,1,0,1,276,-55,False,-45,False,,,
Missing,,276,13,Statue Base for Titus Pinarius,Base,Dedication,,-50.0,10,,,Greek,40,39,10,10,1,0,1,1,1,0,1,276,-55,False,-45,False,,,
Office(s) of Relative(s),,277,14,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,0.0260,True,Greek,110,109,17,17,0,1,2,1,1,2,0,277,-60,False,-40,False,,,
Removed from Site,,277,14,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,0.0260,True,Greek,110,109,17,17,0,1,2,1,1,2,0,277,-60,False,-40,False,,,
Office(s) of Relative(s),,278,15,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,,,Greek,114,112,22,21,0,1,2,1,0,2,0,278,-60,False,-40,False,,,
Missing,,278,15,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,,,Greek,114,112,22,21,0,1,2,1,0,2,0,278,-60,False,-40,False,,,
"At Site, Moved in Modernity",,279,16,Statue Base for Unknown,Base,Dedication,,-50.0,20,0.0195,True,Greek,80,51,13,10,0,1,1,0,0,1,0,279,-60,False,-40,False,,,
Between Propylaea,,280,17,"Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus",Base,Dedication,Between the Propylaea,-50.0,20,0.0250,,Greek,50,49,10,10,1,0,1,1,1,1,0,280,-60,False,-40,False,,,
Coronae or Bucrania,,282,19,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,,Greek,147,96,44,24,2,3,3,2,1,3,0,282,-60,True,-40,True,,,
Child Size Cuttings,,282,19,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,,Greek,147,96,44,24,2,3,3,2,1,3,0,282,-60,True,-40,True,,,
Between Propylaea,,282,19,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,,Greek,147,96,44,24,2,3,3,2,1,3,0,282,-60,True,-40,True,,,
Coronae or Bucrania,,283,20,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,Between the Propylaea,-50.0,20,,,Greek,80,47,25,12,1,2,1,1,1,1,0,283,-60,True,-40,True,,,
Southern Wall,,283,20,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,Between the Propylaea,-50.0,20,,,Greek,80,47,25,12,1,2,1,1,1,1,0,283,-60,True,-40,True,,,
Full Size Cuttings,,286,23,Statue Base for Dionysios Athenagorou Meliteus,Base,Dedication,Between the Propylaea,-37.5,25,0.0170,,Greek,74,72,19,18,1,0,1,1,1,1,0,286,-50,False,-25,False,,,
Between Propylaea,,286,23,Statue Base for Dionysios Athenagorou Meliteus,Base,Dedication,Between the Propylaea,-37.5,25,0.0170,,Greek,74,72,19,18,1,0,1,1,1,1,0,286,-50,False,-25,False,,,
Emphasis with Interpunct or Vacat,,287,24,Statue Base for Aion,Base,Dedication,,-32.5,35,0.0130,,Greek,265,259,58,55,0,0,3,0,0,0,3,287,-50,False,-15,True,,,
No Abbreviation,,287,24,Statue Base for Aion,Base,Dedication,,-32.5,35,0.0130,,Greek,265,259,58,55,0,0,3,0,0,0,3,287,-50,False,-15,True,,,
Bronze Cuttings,,288,25,State Base for Hierophantis Amphiou Philadou,Base,Dedication,,-32.5,35,,,Greek,74,57,17,13,1,1,1,1,1,1,0,288,-50,False,-15,False,,,
Missing,,288,25,State Base for Hierophantis Amphiou Philadou,Base,Dedication,,-32.5,35,,,Greek,74,57,17,13,1,1,1,1,1,1,0,288,-50,False,-15,False,,,
