Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Text,Inscription: Scrubbed Text,Inscription: Diplomatic Text,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes
267,1,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,,Greek, col I ²in corona ² ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν 5 Σ v ²in corona ² 7 ἡ βουλὴ ὁ δῆμος κανηφο 10 ρήσασαν Ἀσκληπι ῶ ⁸⁰ι col II ²in corona ² 13 ἡ βουλὴ ὁ δῆμ ος 15 κανηφορή σασαν Μη τ ρ ὶ θεῶν ²in corona ² 18 ἡ βουλὴ ὁ δῆμος 20 κανηφορήσα σαν Ἀφρο ⁶¹δίτηι ⁶¹ Ἀλω πεκῆσι 24 ἐπὶ ἱ ερείας 25 Ἀμεινοκλείας τῆς Φιλ άνθου Φυλασίου θυγατρός ²corona ², βουλὴ δῆμος κανηφο ρήσασαν Σ βουλὴ δῆμος κανηφο ρήσασαν Ἀσκληπι ῶι βουλὴ δῆμ ος κανηφορή σασαν Μη τ ρ ὶ θεῶν βουλὴ δῆμος κανηφορήσα σαν Ἀφρο δίτηι Ἀλω πεκῆσι ἱ ερείας Ἀμεινοκλείας Φιλ άνθου Φυλασίου θυγατρός , Σ ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν Ἀσκληπι ῶι ἡ ὁ δῆμ κανηφορή σασαν Μη τὶ θεῶν ἡ βουλὴ ὁ δῆμος κανηφορήσα σαν Ἀφρο Ἀλω πεκῆσι ἐπὶ ἱ Ἀμεινοκλείας τῆς Φιλ ,266,121,77,33,2,5,2,2,1,2,0,267,-100,False,-75,False,
268,2,Statue Base for Ameinokleia Philanthou Phylasiou,Base,Dedication,,-87.5,25,0.0250,,Greek,1 ἱέρειαν Δήμητρος καὶ Κ όρης Ἀμεινόκλειαν Φιλάνθου Φυλασίο υ θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθη ς καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρ υδίκη , ἱέρειαν Δήμητρος Κ όρης Ἀμεινόκλειαν Φιλάνθου Φυλασίο υ θυγατέρα υἱοὶ Θεόφιλος Φιλάνθη ς Διοπείθης θυγάτηρ Εὐρ υδίκη , ἱέρειαν Δήμητρος καὶ Κ Φιλάνθου Φυλασίο Θεόφιλος καὶ Φιλάνθη καὶ ἡ θυγάτηρ Εὐρ ,116,66,25,15,0,1,5,4,1,5,0,268,-100,False,-75,False,
269,3,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,-87.5,25,0.0175,True,Greek,1 ρίδου Δεκελεέως θυγατέρ α v ὁ πατ ὴρ ρίδης Δεκ ελεεὺ ς καὶ ἡ μήτηρ Μο σ χίωνος demoticum θυγάτηρ 5 ἀφ ἑσ τίας μ υηθεῖσαν Δήμητρι καὶ Κόρ ηι ἀνέθηκαν , ρίδου Δεκελεέως θυγατέρ α πατ ὴρ ρίδης Δεκ ελεεὺ ς μήτηρ Μο σ χίωνος θυγάτηρ ἀφ ἑσ τίας μ υηθεῖσαν Δήμητρι Κόρ ηι ἀνέθηκαν , ρίδου α ὁ πατ ελεεὺ σ χίωνος τίας μ καὶ Κόρ ,119,33,33,13,0,1,3,2,1,3,0,269,-100,True,-75,True,
270,4,"Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus",Base,Dedication,,-85.0,10,0.0160,,Greek,1 Διονύσιος v Διονυσίου Σφήτ τιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίο υ θυγάτηρ v Ἐπιφάνειαν v Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα 5 τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν , Διονύσιος Διονυσίου Σφήτ τιος Ἐπιφάνεια Ἑρμολύκου Μαραθωνίο υ θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι Κόρηι ἀνέθηκαν , Διονύσιος Διονυσίου Σφήτ καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίο θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν ,164,154,31,25,0,2,3,2,1,3,0,270,-90,False,-80,False,
271,5,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,True,Greek, τῆι πόλει τ ῆι Ἀθηναίων π ερ ι νδιων ἀπαλλαγέντ ε ς το ἄν θ ρωποι διεξαγωγὴν τῶν μ ὲν παράδ ο σιν ἐποιήσατο θυσίας δὲ καὶ μυστή ρια κ αὶ 5 καὶ ἀγῶνας θυμελ ι κούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψ η φίσατο c 7 c 8 καὶ ἡ σύ ν οδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸ ς c 13 6 αὐτ ῶι συναύξουσα καθ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τ ὰ ἐ ψη φ ισμένα ὑ π αὐτ οῦ τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύε ιν καὶ σπένδ ειν τῆι Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσ αμ 10 ένη καὶ τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖ ν ὧν ἐπισχ εθέντ ω ν ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρε θέντ ο ς διὰ τὴν κοινὴν περίστασιν v Φιλήμων ἐπιμελητὴς τὸ τρ ίτ ον γ ενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτ ή σ α το τὰς πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας ἐ ν Ἐ 15 λευσ ῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορη γίαν ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων v προσ εμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ πάσ αις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέ ⁸⁰ ρων σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν 20 ὧ ν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν α ὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀ νε μ ποδίστως κατ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας ὁ δὲ καὶ διὰ τὴ ν πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε 25 τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελεία ς ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι v συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο v καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν κα θιδρύσατο προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπα νορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί ⁸⁰ ⁸⁰ 30 νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν ὥστε μὴ μόνον εἰς ἃ ς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας ἀλλὰ καὶ ε ἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι προσόδους βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ 35 τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ οὗ ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξά μενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς προσε μέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά 40 σ αις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν πολλὰ δ ὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ προσεδαπάνησεν ἐ κ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις προκρίνω ν τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήμα τος ο ὐ μόνον δὲ πρὸς τὴν σύνοδον 45 δ ιακείμενος ἀποδο χ ῆς ἠξιώθη ἐκ τῶ ν νόμων καὶ AIMEN , τῆι πόλει τ ῆι Ἀθηναίων π ερ ι νδιων ἀπαλλαγέντ ε ς το θ ρωποι διεξαγωγὴν μ ὲν παράδ ο σιν ἐποιήσατο θυσίας μυστή ρια κ αὶ ἀγῶνας θυμελ ι κούς σκηνικοὺς ἐπιτελεῖν ἐψ η φίσατο σύ ν οδος Διόνυσον τεχνιτῶν παντὸ ς αὐτ ῶι συναύξουσα καθ ὅσον ἐστὶ δυνατὴ τάς θυσίας τἄλλα πάντα τ ὰ ἐ ψη φ ισμένα ὑ π αὐτ οῦ τοῖς θεοῖς τοῖς εὐεργέταις τίμια ἐψηφίσατο αὐτὴ θύε ιν σπένδ ειν τῆι Δήμητρι τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις βωμὸν ἱδρυσ αμ ένη τέμενος κατασκευάσασα Ἐλευσῖνι σπονδὰς παιᾶνας ἐπιτελεῖν ὧν ἐπισχ εθέντ ω ν ἔτη πλείονα βωμοῦ τεμένους ἀναιρε θέντ ο ς κοινὴν περίστασιν Φιλήμων ἐπιμελητὴς τρ ίτ ον γ ενόμενος τῶι Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτ ή σ α το τὰς πατρίους ταῖς θεαῖς θυσίας πρῶτος θύσας ἐ ν Ἐ λευσ ῖνι τῆι Δήμητρι τῆι Κόρηι λοιπὴν δαπάνην χορη γίαν ἐπιδεξάμενος ὑπεδέξατο σύνοδον ἰδίων προσ εμέρισεν κοινῶν ἄλλας ἡμέρας δύο ἐμ πάσ αις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας πατέ ρων σπονδὰς ἐπιχύσεις παιᾶνας ταῖς θεαῖς ἐπετέλεσεν ὧ ν ἀσμένως τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν α ὐτὸν προετρέψαντο πάσης προθυμίας προνοηθῆναι τεμένους κατασκευῆς ὅπως πατρώιας ἑστίας ἀ νε μ ποδίστως κατ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας τὴ ν τὰς θεὰς εὐσέβειαν τεχνίτας ἀνυπέρθε τον εὔνοιαν ἰδίας ἐπιμελεία ς ὧν ἀνεῦρεν τῆι συνόδωι προσόδων κατασκευὴν τεμένους ἐποιήσατο ἀνειρημένον περιστάσεως βωμὸν πάλιν κα θιδρύσατο προενοήθη ἐκτενῶς κοινῶν ἐμ πᾶσιν ἐπα νορθώσεως κύκλον δανείων μεταπαρέδωκεν ἐκβαί νων ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν μόνον ἃ ς ἀνενεώσατο τῆι Δήμητρι τῆι Κόρηι θυσίας ε ἰς ἑτέρας πλείονας τούτου σπουδὴν γεγονέναι τῆι συνόδωι προσόδους βιασαμένων αὐτὸν τεχνιτῶν πάλιν τέταρτον ὑπομεῖναι ἐπιμελητὴν Σελεύκου ἄρχοντος ἐνιαυ ταῖς λοιπαῖς εἰσφοραῖς χορηγίαις Ἐλευσῖνι θύσας ἔν τῶι ἱερῶι ὧι πρῶτος κατεσκευάσατο τεμένει ἐφ οὗ ἱδρύσατο βωμοῦ τά θύματα λοιπὴν χορηγίαν πᾶσαν ἐπιδεξά μενος ὑπεδέξατο σύνοδον ἰδίων μεγαλομερῶς προσε μέρισε τὰς διατεταγμένας κοινῶν ἡμέρας δύο ἐμ πά σ αις ἐκαλλιέρησε ταῖς θεαῖς τὰς πατρίους σπονδὰς ἐπετέλεσεν πολλὰ δ ὲ ἄλλα ἐπολιτεύσατο καλὰ συμφέροντα τῆι συνόδωι προσεδαπάνησεν ἐ κ ἰδίων ἔν ταῖς ἐπιμελητείαις ἱερωσύναις προκρίνω ν τεχνιτῶν εὔνοιαν παντὸς χρήμα τος ο ὐ μόνον σύνοδον δ ιακείμενος ἀποδο χ ῆς ἠξιώθη τῶ ν νόμων , τ ῆι Ἀθηναίων π ερ νδιων ἀπαλλαγέντ ε ς το θ ρωποι διεξαγωγὴν τῶν μ ὲν ο σιν ἐποιήσατο θυσίας δὲ καὶ μυστή ρια κ ι κούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψ η ν οδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸ ῶι συναύξουσα καθ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τ ὰ ψη π αὐτ τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύε ειν τῆι Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσ τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖ ὧν ἐπισχ ω ν ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρε ο ς διὰ τὴν κοινὴν περίστασιν Φιλήμων ἐπιμελητὴς τὸ ίτ ενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτσ α πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας ν Ἐ ῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορη ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων εμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ αις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέ σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν ν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν ὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀ νε ποδίστως κατ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας ὁ δὲ καὶ διὰ τὴ πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελεία ς ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν κα θιδρύσατο προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπα νορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν ὥστε μὴ μόνον εἰς ς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας ἀλλὰ καὶ ε ἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι προσόδους βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ οὗ ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξά μενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς προσε μέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά σ αις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν ὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ ἐ κ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις ν τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήμα ο ὐ μόνον δὲ πρὸς τὴν σύνοδον δ ιακείμενος ἀποδο ν νόμων καὶ ,2289,2083,519,438,4,5,1,1,1,1,0,271,-76,False,-70,False,
272,6,"Statue Base for Eusebeia, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,True,Greek,1 Ἰσιὰς Ἀσκλη πιῶι εὐχήν , Ἰσιὰς Ἀσκλη πιῶι εὐχήν , Ἰσιὰς Ἀσκλη πιῶι εὐχήν ,20,19,6,6,0,2,5,0,1,0,0,684,-75,True,-65,False,
272,7,"Statue Base for Athenais, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,True,Greek,1 ²in corona ² Εἰσίδοτος Παρρασίου Φυλάσιος ἱε ρατεύων ἀνε 5 θηκεν ²infra coronam ² 6 Ὀρθραγόρας Εἰσιδότου Φυλάσιος κλειδοῦχος , Εἰσίδοτος Παρρασίου Φυλάσιος ἱε ρατεύων ἀνε θηκεν Ὀρθραγόρας Εἰσιδότου Φυλάσιος κλειδοῦχος , Εἰσίδοτος Παρρασίου Φυλάσιος ἱε ρατεύων ἀνε θηκεν Ὀρθραγόρας Εἰσιδότου Φυλάσιος κλειδοῦχος ,107,80,21,13,0,0,5,0,1,0,0,685,-75,True,-65,False,
272,8,"Statue Base for Athenais, Daughter of King Ariobarzanes I of Cappadocia",Base,Dedication,,-70.0,10,0.0245,True,Greek, ⁷ π αῖδας ἀν ΕΒΗΑΣΙΝΕ Ο Υ , π αῖδας ἀν ΕΒΗΑΣΙΝΕ Ο Υ , π αῖδας ἀν ΕΒΗΑΣΙΝΕ Ο Υ ,19,18,9,8,0,0,3,0,1,0,0,686,-75,True,-65,False,
272,9,"Statue Base for King Ariobarzanes II, Son of King Ariobarzanes I, of Cappadocia",Base,Dedication,,-70.0,10,0.0245,True,Greek,,,,0,0,1,1,0,0,3,0,1,0,0,687,-75,True,-65,False,
273,10,"Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus",Stele,Dedication,,-70.0,10,0.0200,,Greek,1 Μήδειος Μηδείου Πειραιεὺς καὶ Διφίλα Διοκλέους Μελιτέως θυγάτηρ τὴν θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ ἑστίας 5 Δήμητρι καὶ Κόρηι ἀνέθηκαν , Μήδειος Μηδείου Πειραιεὺς Διφίλα Διοκλέους Μελιτέως θυγάτηρ θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ ἑστίας Δήμητρι Κόρηι ἀνέθηκαν , Μήδειος Μηδείου Πειραιεὺς καὶ Διφίλα Διοκλέους Μελιτέως θυγάτηρ τὴν θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν ,117,115,21,20,0,1,3,2,1,3,0,273,-75,False,-65,False,
