Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Areopagus Sponsor,Boule Sponsor,Demos Sponsor,Inscription: Notes
267,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,False,True,True,
268,Statue Base for Ameinokleia Philanthou Phylasiou,Base,Dedication,,-87.5,25,0.0250,False,False,False,
269,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,-87.5,25,0.0175,False,False,False,
270,"Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus",Base,Dedication,,-85.0,10,0.0160,False,False,False,
271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,False,False,False,
272,"Statue Base for Eusebeia, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,False,False,False,
272,"Statue Base for Athenais, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,False,False,False,
272,"Statue Base for Athenais, Daughter of King Ariobarzanes I of Cappadocia",Base,Dedication,,-70.0,10,0.0245,False,False,False,
272,"Statue Base for King Ariobarzanes II, Son of King Ariobarzanes I, of Cappadocia",Base,Dedication,,-70.0,10,0.0245,False,False,False,
273,"Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus",Stele,Dedication,,-70.0,10,0.0200,False,False,False,
274,Dedication in Honor of a Tamias,Base,Dedication,,-61.5,1,0.0095,False,True,False,
275,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,False,True,True,
276,Statue Base for Titus Pinarius,Base,Dedication,,-50.0,10,,False,False,True,
277,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,0.0260,False,False,False,
278,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,,False,False,False,
279,Statue Base for Unknown,Base,Dedication,,-50.0,20,0.0195,False,False,False,
280,"Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus",Base,Dedication,Between the Propylaea,-50.0,20,0.0250,False,False,True,
281,Statue Base for Unknown,Base,Dedication,,-50.0,20,0.0210,False,False,False,
282,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,False,True,True,
283,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,Between the Propylaea,-50.0,20,,False,True,False,
284,Statue Base for Unknown,Base,Dedication,,-50.0,20,0.0135,False,False,False,
285,Statue Base for an Unknown Daduch of Hagnous,Base,Dedication,,-40.0,20,0.0265,False,False,True,
286,Statue Base for Dionysios Athenagorou Meliteus,Base,Dedication,Between the Propylaea,-37.5,25,0.0170,False,False,True,
287,Statue Base for Aion,Base,Dedication,,-32.5,35,0.0130,False,False,False,
288,State Base for Hierophantis Amphiou Philadou,Base,Dedication,,-32.5,35,,False,False,True,
289,Statue Base for Lucius Munatius Plancus,Base,Dedication,South Wall,-36.0,10,0.0360,False,False,True,
290,Propylon Dedicated by Appius Claudius Pulcher,Base,Dedication,Between the Propylaea,-40.0,10,0.1105,False,False,False,
291,"Statue Base of Phaidros Lysiadrou Berenikides, Dedicated by his Daughter Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,False,False,False,
291,"Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,False,False,False,
291,"Statue Base for Lysiades Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,False,False,True,
291,"Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,False,False,True,
292,Statue Base for Sempronia L.F. Atratina,Base,Dedication,,-39.5,11,0.0340,False,False,True,
293,Bench Deadicted by Caius Creperius C.F.,Base,Dedication,,-40.0,10,0.0220,False,False,False,
294,Statue Base for Marcus Titius L.F.,Base,Dedication,Between the Propylaea,-35.0,10,0.0380,False,False,False,
295,"Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General",Base,Dedication,South Wall,-32.5,5,0.0345,True,True,True,
296,"Livia Drousilla, Wife of the Emperor Augustus Caesar",Building or Monument,Dedication,,-26.0,10,0.0400,False,False,True,
296,"Statue Base for the Emperor Augustus Caesar, Son of the Divine Iulius, Dedicated by the Demos",Building or Monument,Dedication,,-26.0,10,0.0400,False,False,True,
297,Statue Base for Augustus Caesar as Zeus Boulaios,Base,Dedication,,-22.0,10,0.0400,False,False,False,
298,"Statue Base for Theophrastos Themistokleous Hagnousios, Daduch",Base,Dedication,,-25.0,10,0.0220,False,False,True,
299,"Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate",Base,Dedication,,-25.0,10,0.0150,False,False,False,
300,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,False,True,True,
301,"Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,False,False,True,
301,"Statue Base for the Daduch Themistokles, Son of the Daduch Themistokles, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,False,False,True,
301,"Statue Base Sophokles, Son of Theophrastos, of Hagnous",Base,Dedication,,-20.0,10,0.0235,False,False,True,
302,"Statue Base for an Unknown Hearth-Initiate, son of Themistokles Hagnousios",Base,Dedication,Before the Telestrion,-13.0,24,0.0225,False,False,True,
303,Statue Base For Unknown,Building or Monument,Dedication,,-13.0,24,0.0290,False,False,False,
304,"Statue Base Signed by Antiochos, son of Demetrios of Antioch",Building or Monument,Other/Uncertain,,-13.0,24,0.0110,False,False,False,
305,Statue Base for Polyainos Nikandrou Sounieus,Base,Dedication,,-13.0,24,0.0270,False,True,True,
306,"Altar for Kourotrophos, Dedicated by Theophile",Other/Fragment,Dedication,,-50.5,99,0.0130,False,False,False,
307,"Statue Base for Diotima, Hearth-Initiate",Base,Dedication,,-50.5,99,0.0170,False,False,False,
308,Statue Base for Diodotos Kalliphontos Pamotades,Base,Dedication,,-50.5,99,0.0210,False,False,True,
309,Statue Base Signed by Sosibios,Base,Other/Uncertain,,-50.5,99,0.0200,False,False,False,
310,Fragmentary Law or Epistle,Base,Other/Uncertain,,50.0,300,0.0140,False,False,False,
311,Fragment Letter or Decree,Base,Other/Uncertain,,50.0,300,0.0080,False,False,False,
312,Statue Base for Dionysios Son of Dionysios,Stele,Dedication,,50.0,300,0.0270,True,False,False,
313,Statue Base Dedicated by or for an Exegete,Base,Dedication,,50.0,300,0.0240,False,False,False,
314,Statue Base for Unknown,Base,Dedication,,50.0,300,0.0340,False,False,False,
315,Fragmentary Decree,Base,Decree,,50.0,300,0.0110,False,False,False,
316,Statue Base Unknown,Base,Dedication,,50.0,300,0.0195,False,False,False,
317,Statue Base for an Unknown Hearth-Initiate,Altar,Dedication,,0.0,200,,False,False,False,
318,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,50.0,300,0.0240,False,False,False,
319,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,50.0,300,0.0240,False,False,False,
320,Fragmentary Dedication,Base,Dedication,,100.0,400,0.0150,False,False,False,
321,Statue Base for Unknown,Other/Fragment,Other/Uncertain,,100.0,400,0.0210,False,False,False,
322,Statue Base for Unknown,Other/Fragment,Dedication,,100.0,400,0.0475,False,False,False,
323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,True,True,True,
324,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,True,True,True,
325,Statue Base for a Unknown Hierophantis,Base,Dedication,,13.0,24,,False,False,True,
326,Statue Base for Unknown,Base,Dedication,Outer Courtyard,13.0,24,0.0290,False,False,True,
327,Statue Base for Antamenes Leontichou Epieikides,Base,Dedication,Outer Courtyard,13.0,24,0.0280,True,False,True,
328,Altar for Kourotrophos,Base,Dedication,,13.0,24,0.0080,False,False,False,
329,"Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia",Other/Fragment,Dedication,,-6.5,41,,False,True,False,
330,Statue Base for Polycharmos Polykritou Azenieus,Base,Dedication,,-6.5,41,0.0295,False,False,True,
331,Statue Base for Emperor Tiberius,Base,Dedication,,25.5,23,0.0350,False,False,False,
