Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Inscription: Notes
267,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,Boule & Demos,
268,Statue Base for Ameinokleia Philanthou Phylasiou,Base,Dedication,,-87.5,25,0.0250,,
269,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,-87.5,25,0.0175,,
270,"Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus",Base,Dedication,,-85.0,10,0.0160,,
271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,,
272,"Statue Base for Eusebeia, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,,
272,"Statue Base for Athenais, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,,
272,"Statue Base for Athenais, Daughter of King Ariobarzanes I of Cappadocia",Base,Dedication,,-70.0,10,0.0245,,
272,"Statue Base for King Ariobarzanes II, Son of King Ariobarzanes I, of Cappadocia",Base,Dedication,,-70.0,10,0.0245,,
273,"Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus",Stele,Dedication,,-70.0,10,0.0200,,
274,Dedication in Honor of a Tamias,Base,Dedication,,-61.5,1,0.0095,Boule,
275,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,Boule & Demos,
276,Statue Base for Titus Pinarius,Base,Dedication,,-50.0,10,,Demos,
277,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,0.0260,,
278,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,,,
279,Statue Base for Unknown,Base,Dedication,,-50.0,20,0.0195,,
280,"Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus",Base,Dedication,Between the Propylaea,-50.0,20,0.0250,Demos,
281,Statue Base for Unknown,Base,Dedication,,-50.0,20,0.0210,,
282,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,Boule & Demos,
283,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,Between the Propylaea,-50.0,20,,Boule,
284,Statue Base for Unknown,Base,Dedication,,-50.0,20,0.0135,,
285,Statue Base for an Unknown Daduch of Hagnous,Base,Dedication,,-40.0,20,0.0265,Demos,
286,Statue Base for Dionysios Athenagorou Meliteus,Base,Dedication,Between the Propylaea,-37.5,25,0.0170,Demos,
287,Statue Base for Aion,Base,Dedication,,-32.5,35,0.0130,,
288,State Base for Hierophantis Amphiou Philadou,Base,Dedication,,-32.5,35,,Demos,
289,Statue Base for Lucius Munatius Plancus,Base,Dedication,South Wall,-36.0,10,0.0360,Demos,
290,Propylon Dedicated by Appius Claudius Pulcher,Base,Dedication,Between the Propylaea,-40.0,10,0.1105,,
291,"Statue Base of Phaidros Lysiadrou Berenikides, Dedicated by his Daughter Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,,
291,"Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,,
291,"Statue Base for Lysiades Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,Demos,
291,"Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,Demos,
292,Statue Base for Sempronia L.F. Atratina,Base,Dedication,,-39.5,11,0.0340,Demos,
293,Bench Deadicted by Caius Creperius C.F.,Base,Dedication,,-40.0,10,0.0220,,
