Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Honorand,Honorand Origin,Honorand Gender,Honorand Roman Citizen,Honorand Family,Inscription: Notes
267,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,Boule & Demos,UNC Kanephoros,Athens,Male,False,,
268,Statue Base for Ameinokleia Philanthou Phylasiou,Base,Dedication,,-87.5,25,0.0250,,Ameinokleia Philanthou,Athens,Female,False,,
269,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,-87.5,25,0.0175,,[?] Heath-Initiate,Athens,Uncertain,False,,
270,"Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus",Base,Dedication,,-85.0,10,0.0160,,Epiphaneia II Athenagorou,Athens,Female,False,,
271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,,Philemon,Athens,Male,False,,
272,"Statue Base for Eusebeia, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,,Eusebeia Ariobarzanou,Cappadocia,Female,False,,
272,"Statue Base for Athenais, Daughter of King Ariobarzanes II of Cappadocia",Base,Dedication,,-70.0,10,0.0220,,Athenais III Ariobarzanou II,Cappadocia,Female,False,,
272,"Statue Base for Athenais, Daughter of King Ariobarzanes I of Cappadocia",Base,Dedication,,-70.0,10,0.0245,,Athenais II Ariobazanou I,Cappadocia,Female,False,,
272,"Statue Base for King Ariobarzanes II, Son of King Ariobarzanes I, of Cappadocia",Base,Dedication,,-70.0,10,0.0245,,Ariobarzanes II Ariobarzanou I,Cappadocia,Male,False,,
273,"Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus",Stele,Dedication,,-70.0,10,0.0200,,Timothea Medeiou,Athens,Female,False,,
274,Dedication in Honor of a Tamias,Base,Dedication,,-61.5,1,0.0095,Boule,[?] Tamias,Athens,Male,False,,
275,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,Boule & Demos,Medeios Medeiou,Athens,Male,False,,
276,Statue Base for Titus Pinarius,Base,Dedication,,-50.0,10,,Demos,T. Pinarius,Rome,Male,True,,
277,"Statue Base for Sophokles Xenokleous Acharneus, Daduch",Base,Dedication,,-50.0,20,0.0260,,Sophokles Xenokleous,Athens,Male,False,,
280,"Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus",Base,Dedication,Between the Propylaea,-50.0,20,0.0250,Demos,Kleo Dionysiou,Athens,Female,False,,
282,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,Boule & Demos,[?] Heath-Initiate,Athens,Uncertain,False,,
283,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,Between the Propylaea,-50.0,20,,Boule,[?] Heath-Initiate,Athens,Uncertain,False,,
285,Statue Base for an Unknown Daduch of Hagnous,Base,Dedication,,-40.0,20,0.0265,Demos,[?] Daduch from Hagnous,Athens,Male,False,,
286,Statue Base for Dionysios Athenagorou Meliteus,Base,Dedication,Between the Propylaea,-37.5,25,0.0170,Demos,Dionysios Athenagorou,Athens,Male,False,,
288,State Base for Hierophantis Amphiou Philadou,Base,Dedication,,-32.5,35,,Demos,[?] Hierophantis Amphiou,Athens,Female,False,,
289,Statue Base for Lucius Munatius Plancus,Base,Dedication,South Wall,-36.0,10,0.0360,Demos,L. Munatius Plancus,Rome,Male,True,,
291,"Statue Base of Phaidros Lysiadrou Berenikides, Dedicated by his Daughter Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,,Phaidros Lysiadou,Athens,Male,False,,
291,"Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,,Pomponianus Atticus,Rome,Male,True,,
291,"Statue Base for Lysiades Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,Demos,Lysiades Phaidrou,Athens,Female,False,,
291,"Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,Demos,Khrysothemis Phaidrou,Athens,Female,False,,
292,Statue Base for Sempronia L.F. Atratina,Base,Dedication,,-39.5,11,0.0340,Demos,Sempronia,Rome,Female,True,,
294,Statue Base for Marcus Titius L.F.,Base,Dedication,Between the Propylaea,-35.0,10,0.0380,,M. Titius,Rome,Male,True,,
295,"Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General",Base,Dedication,South Wall,-32.5,5,0.0345,"Areopagus, Boule, & Demos",Kallikratides Syndromou,Athens,Male,False,,
296,"Livia Drousilla, Wife of the Emperor Augustus Caesar",Building or Monument,Dedication,,-26.0,10,0.0400,Demos,Livia Drusilla,Rome,Female,True,,
296,"Statue Base for the Emperor Augustus Caesar, Son of the Divine Iulius, Dedicated by the Demos",Building or Monument,Dedication,,-26.0,10,0.0400,Demos,Augustus,Rome,Male,True,,
297,Statue Base for Augustus Caesar as Zeus Boulaios,Base,Dedication,,-22.0,10,0.0400,,Augustus,Rome,Male,True,,
298,"Statue Base for Theophrastos Themistokleous Hagnousios, Daduch",Base,Dedication,,-25.0,10,0.0220,Demos,Theophrastos Themistokleous,Athens,Male,False,,
299,"Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate",Base,Dedication,,-25.0,10,0.0150,,Lamidion Apolexidos,Athens,Male,False,,
300,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,Boule & Demos,Themistokles II Theophrastou,Athens,Male,False,,
301,"Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,Demos,Theophrastos Themistokleous,Athens,Male,False,,
301,"Statue Base for the Daduch Themistokles, Son of the Daduch Themistokles, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,Demos,Themistokles II Theophrastou,Athens,Male,False,,
301,"Statue Base Sophokles, Son of Theophrastos, of Hagnous",Base,Dedication,,-20.0,10,0.0235,Demos,Sophokles Theophrastou,Athens,Male,False,,
302,"Statue Base for an Unknown Hearth-Initiate, son of Themistokles Hagnousios",Base,Dedication,Before the Telestrion,-13.0,24,0.0225,Demos,[?] Hearth-Initiate Themistokleous,Athens,Male,False,,
305,Statue Base for Polyainos Nikandrou Sounieus,Base,Dedication,,-13.0,24,0.0270,Boule & Demos,Polyainos Nikandrou,Athens,Male,False,,
307,"Statue Base for Diotima, Hearth-Initiate",Base,Dedication,,-50.5,99,0.0170,,Diotima,Athens,Female,False,,
308,Statue Base for Diodotos Kalliphontos Pamotades,Base,Dedication,,-50.5,99,0.0210,Demos,Diodotos Kalliphontos,Athens,Male,False,,
312,Statue Base for Dionysios Son of Dionysios,Stele,Dedication,,50.0,300,0.0270,Areopagus,Dionysios Dionysiou,Athens,Male,False,,
323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,"Areopagus, Boule, & Demos",Atheno Niketou,Athens,Male,False,,
