Institution: Title,Institution: Origin,Institution: Type,Office: Title,Office: Origin,Office: Type,Officer: Description,Officer: Origin,Officer: Gender,Officer: Name(s),Officer: Deme,Officer: Athenian Citizen,Officer: Roman Citizen,Officer: Family,Officer: Extended Family,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Office: Total Appearances,Office: Total People Honored,Office: Total Times People Honored,Office: Total Athenians Honored,Office: Total Athenians with Roman Citizenship Honored,Office: Total Romans Honored,Office: Total Times Athenians Honored,Office: Total Times Athenians with Roman Citizenship Honored,Office: Total Times Romans Honored,Office: Total Times Sponsored Honored,Office: Total Times Honorand Honored,Officer: Total Appearances,Officer: Total Sponsors,Officer: Total Officers,Officer: Total Institutional Affililiations,Officer: Total Honors,Officer: Total Athenian Honors,Officer: Total Roman Honors,Officer: Total Eleusinian Honors,Officer: RCA,Officer: PA,Officer: PAA,Officer: LGPN,Officer: Uncertain,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Office: ID,Officer: ID,Inscription: ID,Institution: Notes,Office: Notes,Officer: Notes,Inscription: Notes
Areopagus,Athens,Public,Archon Basileus,Athens,Magistracy,P. Ail Apollonios,Athens,Male,Publius Aelius Apollonios,,True,True,,TBD,621,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,84,7,68,43,56,151,203,164,274,104,3,1,1,1,1,0,1,1,0,8,3,1,0,,5,5,5,0,0,,,,,False,377,335,81,66,2,8,6,2,1,6,0,1000,3109,2453,621,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Kl. Asklepiodoros,Athens,Male,Claudius Asklepiodoros,,True,True,,,358,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,1,,3,3,3,0,0,,,,,False,276,147,71,35,0,4,4,1,1,4,0,1000,3027,2159,358,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Thrasyllos Ammoniou,Athens,Male,Thrasyllos Ammoniou,,True,False,,,377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,1,1,1,0,0,,,,,False,173,121,41,30,1,1,3,1,1,3,0,1000,3027,2182,377,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Thrasyllos Kholleides,Athens,Male,Thrasyllos,Kholleidai,True,False,,,445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,1,,2,2,2,0,0,,,,,False,115,29,30,12,1,2,2,1,1,2,0,1000,3027,2240,445,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,L. Vipsanius Aiolion,Athens,Male,Lucius Vipsanius Aiolion,,True,True,,TBD,456,"Statue Base for Relative of L. Vipsanios Aiolion, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0315,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,3,,5,6,5,0,1,,,,,False,42,14,14,7,1,1,3,0,1,3,0,1000,3027,2250,456,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,L. Vipsanius Aiolion,Athens,Male,Lucius Vipsanius Aiolion,,True,True,,TBD,455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,3,,5,6,5,0,1,,,,,False,378,101,124,31,4,6,3,3,3,3,0,1000,3027,2250,455,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,6,8,7,0,1,95,,,,False,675,471,153,90,2,23,4,0,1,4,0,1000,3027,2270,463,,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)",
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,[?] Claudius of Melite,Athens,Male,,Melite,True,True,,,472,Statue Base for an Unknown Member of the Klaudii of Melite,Base,Dedication,,175.0,50,0.0250,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,1,1,1,0,0,,,,,True,66,8,19,7,1,2,2,0,1,2,0,1000,3027,2284,472,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,T. Fl. Alkibiades (II),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,483,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,4,5,5,0,0,131,,,,False,1196,996,273,202,4,12,9,3,1,8,1,1000,3027,2303,483,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,T. Fl. Leosthenes,Athens,Male,Titus Flavius Leosthenes,Paiania,True,True,,Alcibiad,483,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,4,7,7,0,0,129,,,,False,1196,996,273,202,4,12,9,3,1,8,1,1000,3027,2304,483,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,T. Fl. Alkibiades (I),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,483,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,2,5,4,1,0,127,,,,False,1196,996,273,202,4,12,9,3,1,8,1,1000,3027,2305,483,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Iul. Apollodotos Meliteus,Athens,Male,Iulius Apollodotos,Melite,True,True,Theodotid,Claudii of Melite,492,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,3,,4,3,2,0,1,48,,,,False,255,244,51,47,4,6,5,3,1,5,0,1000,3027,2326,492,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Iul. Theodotos,Athens,Male,Iulius Theodotus,Melite,True,True,Theodotid,Claudii of Melite,493,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,0,,3,4,2,0,0,50,,,,False,371,176,113,56,1,5,5,3,1,5,0,1000,3027,2327,493,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Iul. Theodotos,Athens,Male,Iulius Theodotus,Melite,True,True,Theodotid,Claudii of Melite,492,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,0,,3,4,2,0,0,50,,,,False,255,244,51,47,4,6,5,3,1,5,0,1000,3027,2327,492,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Ail. Ardys,Athens,Male,Aelius Ardys,,True,True,,Aelii of Phaleron,523,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,5,6,3,1,0,7,,,,False,880,812,170,146,2,10,11,1,1,11,0,1000,3027,2397,523,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Ail. Kallikrates,Athens,Male,Aelius Kallikrates,,True,True,,Aelii of Phaleron,523,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,4,4,4,0,0,8,,,,False,880,812,170,146,2,10,11,1,1,11,0,1000,3027,2398,523,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,P. Ail Apollonios,Athens,Male,Publius Aelius Apollonios,,True,True,,TBD,621,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,5,5,5,0,0,,,,,False,377,335,81,66,2,8,6,2,1,6,0,1000,3027,2453,621,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,P. Herennios Ptolemaios P. Herenniou,Athens,Male,Publius Herennius Ptolemaios Herenneiou,,True,True,,TBD,627,Statue Base for P. Herennius Ptolemaios of Hermos,Base,Dedication,,313.0,24,0.0320,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,0,,1,2,1,0,0,,,,,False,44,5,11,5,0,0,1,0,1,1,0,1000,3027,2467,627,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,P. Herennios Ptolemaios P. Herenniou,Athens,Male,Publius Herennius Ptolemaios Herenneiou,,True,True,,TBD,626,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,0,,1,2,1,0,0,,,,,False,105,93,23,20,4,4,1,3,0,1,0,1000,3027,2467,626,,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Iul. Mousonios,Athens,Male,Iulius Mousonios,,True,True,,,633,"Statue Base for Rouphenia, Mother of Iul. the Hierokeryx",Base,Dedication,,217.5,15,0.0235,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,3,5,2,0,0,,,,,False,191,152,51,35,1,6,3,1,1,2,1,1000,3027,2479,633,,,,
Areopagus,Athens,Public,Secretary of the Demos,Athens,Magistracy,Metrophanes Dionysiou,Athens,Male,Metrophanes Dionysiou,,True,False,,,300,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,84,7,68,43,56,151,203,164,274,104,2,2,2,2,0,0,2,0,0,5,1,1,0,,1,1,1,0,0,,,,,False,3533,3223,781,638,3,18,47,2,1,47,0,1000,3028,2059,300,,,,
Areopagus,Athens,Public,Secretary of the Demos,Athens,Magistracy,Eutykhos,Athens,Male,Eutykhos,,True,False,,,638,Decree of the Athenians Concerning the Transport of the Sacred Objects,Base,Decree,South Wall,220.0,10,0.0180,84,7,68,43,56,151,203,164,274,104,2,2,2,2,0,0,2,0,0,5,1,1,0,,1,1,1,0,0,,,,,False,1749,1355,465,326,5,6,3,3,0,3,0,1000,3028,2490,638,,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Papios Marathonios,Athens,Male,Papios Marathonios,,True,False,,,334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,2,2,1,1,0,,,,,False,225,129,52,29,3,2,3,3,1,2,1,1000,3058,2133,334,,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Praxagoras,Athens,Male,Praxagoras Praxagoras,,True,False,,,335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,2,2,1,1,0,,,,,False,247,21,62,13,3,2,5,3,1,3,2,1000,3058,2136,335,,,,
