Institution: Title,Institution: Origin,Institution: Type,Office: Title,Office: Origin,Office: Type,Officer: Description,Officer: Origin,Officer: Gender,Officer: Name(s),Officer: Deme,Officer: Athenian Citizen,Officer: Roman Citizen,Officer: Family,Officer: Extended Family,Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Office: Total Appearances,Office: Total People Honored,Office: Total Times People Honored,Office: Total Athenians Honored,Office: Total Athenians with Roman Citizenship Honored,Office: Total Romans Honored,Office: Total Times Athenians Honored,Office: Total Times Athenians with Roman Citizenship Honored,Office: Total Times Romans Honored,Office: Total Times Sponsored Honored,Office: Total Times Honorand Honored,Officer: Total Appearances,Officer: Total Sponsors,Officer: Total Officers,Officer: Total Institutional Affililiations,Officer: Total Honors,Officer: Total Athenian Honors,Officer: Total Roman Honors,Officer: Total Eleusinian Honors,Officer: RCA,Officer: PA,Officer: PAA,Officer: LGPN,Officer: Uncertain,Institution: ID,Office: ID,Officer: ID,Institution: Notes,Office: Notes,Officer: Notes
Areopagus,Athens,Public,Archon Basileus,Athens,Magistracy,P. Ail Apollonios,Athens,Male,Publius Aelius Apollonios,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,3,1,1,1,1,0,1,1,0,8,3,1,0,,5,5,5,0,0,,,,,False,1000,3109,2453,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Kl. Asklepiodoros,Athens,Male,Claudius Asklepiodoros,,True,True,,,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,1,,3,3,3,0,0,,,,,False,1000,3027,2159,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Thrasyllos Ammoniou,Athens,Male,Thrasyllos Ammoniou,,True,False,,,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,1,1,1,0,0,,,,,False,1000,3027,2182,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Thrasyllos Kholleides,Athens,Male,Thrasyllos,Kholleidai,True,False,,,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,1,,2,2,2,0,0,,,,,False,1000,3027,2240,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,L. Vipsanius Aiolion,Athens,Male,Lucius Vipsanius Aiolion,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,3,,5,6,5,0,1,,,,,False,1000,3027,2250,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,6,8,7,0,1,95,,,,False,1000,3027,2270,,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)"
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,[?] Claudius of Melite,Athens,Male,,Melite,True,True,,,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,1,1,1,0,0,,,,,True,1000,3027,2284,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,T. Fl. Alkibiades (II),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,4,5,5,0,0,131,,,,False,1000,3027,2303,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,T. Fl. Leosthenes,Athens,Male,Titus Flavius Leosthenes,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,4,7,7,0,0,129,,,,False,1000,3027,2304,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,T. Fl. Alkibiades (I),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,2,5,4,1,0,127,,,,False,1000,3027,2305,,,
