Institution: Title,Institution: Origin,Institution: Type,Office: Title,Office: Origin,Office: Type,Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Office: Total Appearances,Office: Total People Honored,Office: Total Times People Honored,Office: Total Athenians Honored,Office: Total Athenians with Roman Citizenship Honored,Office: Total Romans Honored,Office: Total Times Athenians Honored,Office: Total Times Athenians with Roman Citizenship Honored,Office: Total Times Romans Honored,Office: Total Times Sponsored Honored,Office: Total Times Honorand Honored,Institution: ID,Office: ID,Institution: Notes,Office: Notes
Areopagus,Athens,Public,Archon Basileus,Athens,Magistracy,84,7,68,43,56,151,203,164,274,104,3,1,1,1,1,0,1,1,0,8,3,1000,3109,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1000,3027,,
Areopagus,Athens,Public,Secretary of the Demos,Athens,Magistracy,84,7,68,43,56,151,203,164,274,104,2,2,2,2,0,0,2,0,0,5,1,1000,3028,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1000,3058,,
Areopagus,Athens,Public,Archon,Athens,Magistracy,84,7,68,43,56,151,203,164,274,104,4,2,2,2,2,0,2,2,0,9,3,1000,3094,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1000,3006,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1000,3023,,
Boule,Athens,Public,Herald of the Boule and Demos,Athens,Magistracy,66,1,1,2,2,169,181,167,1,3,1,2,2,2,1,0,2,1,0,0,0,1001,3057,,
Demos,Athens,Public,Proedros,Athens,Magistracy,88,5,21,20,24,190,204,144,157,50,1,1,1,1,0,0,1,0,0,2,1,1002,3029,,
Demos,Athens,Public,Hoplite General,Athens,Magistracy,88,5,21,20,24,190,204,144,157,50,17,18,18,18,17,0,18,17,0,24,14,1002,3023,,
Demos,Athens,Public,Priest of the Demos,Athens,Sacred Official,88,5,21,20,24,190,204,144,157,50,1,0,0,0,0,0,0,0,0,0,0,1002,3045,,
Demos,Athens,Public,Tamias,Athens,Magistracy,88,5,21,20,24,190,204,144,157,50,1,1,1,1,0,0,1,0,0,1,1,1002,3014,,
Demos,Athens,Public,Herald of the Boule and Demos,Athens,Magistracy,88,5,21,20,24,190,204,144,157,50,1,2,2,2,1,0,2,1,0,0,0,1002,3057,,
Dionysiac Technitai,Athens,Private,Epimelite of Dionysiac Technitai,Athens,Magistracy,1,2,2,2,8,1,4,5,13,8,1,2,3,2,1,0,3,2,0,1,1,1004,3007,,
Dionysiac Technitai,Athens,Private,Underwriter of Dionysiac Technitai,Athens,Liturgy/Benefaction,1,2,2,2,8,1,4,5,13,8,1,1,1,1,0,0,1,0,0,1,1,1004,3008,,
Samian Demos,Samos,Public,Ephesian Prytaneis,Ephesus,Magistracy,1,2,2,2,2,0,2,0,4,4,1,2,2,2,1,0,2,1,0,0,1,1010,3074,,
Samian Demos,Samos,Public,Secretary of Ephesian Demos,Ephesus,Magistracy,1,2,2,2,2,0,2,0,4,4,1,2,2,2,1,0,2,1,0,0,1,1010,3070,,
Panhellenes,Other,Public,Archon of the Panhellenion,Other/Uncertain,Other Office,8,1,3,3,3,48,11,17,39,5,3,3,3,3,2,0,3,2,0,2,1,1012,3107,,
