Institution: Title,Institution: Origin,Institution: Type,Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Institution: ID,Institution: Notes
Areopagus,Athens,Public,84,7,68,43,56,151,203,164,274,104,1000,
Boule,Athens,Public,66,1,1,2,2,169,181,167,1,3,1001,
Demos,Athens,Public,88,5,21,20,24,190,204,144,157,50,1002,
Tribe of Antiochis,Athens,Public,1,0,0,0,0,40,2,7,0,0,1003,
Dionysiac Technitai,Athens,Private,1,2,2,2,8,1,4,5,13,8,1004,
Sophiai,Other,Private,2,0,0,0,0,8,3,7,0,0,1005,
Philoi,Other,Private,1,0,0,0,0,3,1,0,0,0,1006,
Xenoi,Other,Private,1,0,0,0,0,3,1,2,0,0,1007,
Samian Haloa,Samos,Public,1,0,0,0,0,2,3,1,0,0,1008,
Boule of Korinth,Corinth,Public,1,0,0,0,0,4,1,1,0,0,1009,
Samian Demos,Samos,Public,1,2,2,2,2,0,2,0,4,4,1010,
Areopagus of Ephesus,Ephesus,Public,1,0,0,0,0,4,2,23,0,0,1011,
Panhellenes,Other,Public,8,1,3,3,3,48,11,17,39,5,1012,
Sacred Gerousia,Other,Public,2,1,1,1,1,7,6,9,1,2,1013,
Ephebes,Athens,Public,1,0,0,0,0,3,5,6,0,0,1014,
Eumolpidai,Eleusis,Genos,24,3,35,23,28,45,44,53,94,46,1015,
Kerykes,Eleusis,Genos,7,18,64,72,100,67,17,42,391,197,1016,
Lykomidai,Athens,Genos,1,0,0,0,0,2,3,1,0,0,1017,
Philleidai,Eleusis,Genos,1,2,49,27,50,1,1,2,67,27,1018,
Bouzygai,Athens,Genos,1,1,1,1,1,2,1,3,1,1,1019,
Praxiergidai,Athens,Genos,1,0,0,0,0,1,4,1,0,0,1020,
Imperial Family,Rome,Private,0,6,17,16,27,0,0,0,53,29,1021,
SPQR,Rome,Public,0,0,0,0,0,0,0,0,0,0,1022,
Eteoboutadai,Athens,Genos,1,2,3,1,1,1,1,1,3,2,1023,
Samian Boule,Samos,Public,1,0,0,0,0,0,2,0,0,0,1024,
