Institution: Title,Institution: Origin,Institution: Type,Co-Appearing Person: Description,Co-Appearing Person: Origin,Co-Appearing Person: Gender,Co-Appearing Person: Name(s),Co-Appearing Person: Deme,Co-Appearing Person: Athenian Citizen,Co-Appearing Person: Roman Citizen,Co-Appearing Person: Family,Co-Appearing Person: Extended Family,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Co-Appearing Person: Total Appearances,Co-Appearing Person: Total Sponsors,Co-Appearing Person: Total Honorands,Co-Appearing Person: Total Officers,Co-Appearing Person: Total Institutional Affililiations,Co-Appearing Person: Total Honors,Co-Appearing Person: Total Athenian Honors,Co-Appearing Person: Total Roman Honors,Co-Appearing Person: Total Eleusinian Honors,Co-Appearing Person: RCA,Co-Appearing Person: PA,Co-Appearing Person: PAA,Co-Appearing Person: LGPN,Co-Appearing Person: Uncertain,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Co-Appearing Person: ID,Inscription: ID,Institution: Notes,Co-Appearing Person: Notes,Inscription: Notes
Areopagus,Athens,Public,Philemon,Athens,Male,Philemon,,True,False,,,271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,84,7,68,43,56,151,203,164,274,104,1,1,0,,2,5,5,0,0,,,,,False,2289,2083,519,438,4,5,1,1,1,1,0,1000,2012,271,,,
Areopagus,Athens,Public,Kallikratides Syndromou,Athens,Male,Kallikratides Syndromou,,True,False,Oinophilids,,295,"Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General",Base,Dedication,South Wall,-32.5,5,0.0345,84,7,68,43,56,151,203,164,274,104,2,3,1,,5,4,3,1,0,,,,,False,198,149,50,36,3,1,1,3,1,1,0,1000,2050,295,,"Adopted Oinophilos of Trikorynthos, eventually leading to Tiberius Claudius Oinophilos (Hierophant)",
Areopagus,Athens,Public,Dionysios Dionysiou,Athens,Male,Dionysios Dionysiou,,True,False,,,312,Statue Base for Dionysios Son of Dionysios,Stele,Dedication,,50.0,300,0.0270,84,7,68,43,56,151,203,164,274,104,1,1,0,,0,0,0,0,0,,,,,False,54,34,15,10,1,0,1,1,1,1,0,1000,2114,312,,,
Areopagus,Athens,Public,Atheno Niketou,Athens,Male,Atheno Niketou,,True,False,,,323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,False,126,125,30,30,3,1,1,3,1,1,0,1000,2121,323,,,
Areopagus,Athens,Public,Pammenes Pammenous,Athens,Male,Pammenes Pammenous,,True,False,,,324,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,84,7,68,43,56,151,203,164,274,104,1,4,0,,1,1,0,0,1,,,,,False,158,67,53,25,4,1,1,4,1,1,0,1000,2122,324,,,
Areopagus,Athens,Public,Antamenes Leontikhou,Athens,Male,Antamenes Leontikhou,,True,False,,,327,Statue Base for Antamenes Leontichou Epieikides,Base,Dedication,Outer Courtyard,13.0,24,0.0280,84,7,68,43,56,151,203,164,274,104,1,2,0,,0,0,0,0,0,,,,,False,59,57,15,14,2,0,1,2,1,1,0,1000,2124,327,,,
Areopagus,Athens,Public,Papios Marathonios,Athens,Male,Papios Marathonios,,True,False,,,334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,1,0,0,,2,2,1,1,0,,,,,False,225,129,52,29,3,2,3,3,1,2,1,1000,2133,334,,,
Areopagus,Athens,Public,Papios Marathonios,Athens,Male,Papios Marathonios,,True,False,,,334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,1,0,0,,2,2,1,1,0,,,,,False,225,129,52,29,3,2,3,3,1,2,1,1000,2133,334,,,
Areopagus,Athens,Public,Papios Marathonios,Athens,Male,Papios Marathonios,,True,False,,,334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,1,0,0,,2,2,1,1,0,,,,,False,225,129,52,29,3,2,3,3,1,2,1,1000,2133,334,,,
Areopagus,Athens,Public,Praxagoras,Athens,Male,Praxagoras Praxagoras,,True,False,,,335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,1,0,0,,2,2,1,1,0,,,,,False,247,21,62,13,3,2,5,3,1,3,2,1000,2136,335,,,
