Source,Target,Type,Weight,TimeInterval
1001,2000,Directed,1,"<[-87.5, 350]>"
1002,2000,Directed,1,"<[-87.5, 350]>"
2002,2001,Directed,1,"<[-87.5, 350]>"
2003,2001,Directed,1,"<[-87.5, 350]>"
2004,2001,Directed,1,"<[-87.5, 350]>"
2005,2001,Directed,1,"<[-87.5, 350]>"
2007,2006,Directed,1,"<[-87.5, 350]>"
2008,2006,Directed,1,"<[-87.5, 350]>"
2009,2011,Directed,1,"<[-85.0, 350]>"
2010,2011,Directed,1,"<[-85.0, 350]>"
1004,2012,Directed,1,"<[-73.0, 350]>"
2019,2021,Directed,1,"<[-70.0, 350]>"
2020,2021,Directed,1,"<[-70.0, 350]>"
1001,2022,Directed,1,"<[-61.5, 350]>"
1001,2019,Directed,1,"<[-60.0, 350]>"
1002,2019,Directed,1,"<[-60.0, 350]>"
1002,2023,Directed,1,"<[-50.0, 350]>"
2024,2025,Directed,1,"<[-50.0, 350]>"
1002,2027,Directed,1,"<[-50.0, 350]>"
1001,2029,Directed,1,"<[-50.0, 350]>"
1002,2029,Directed,1,"<[-50.0, 350]>"
1001,2030,Directed,1,"<[-50.0, 350]>"
1002,2032,Directed,1,"<[-40.0, 350]>"
1002,2033,Directed,1,"<[-37.5, 350]>"
1002,2037,Directed,1,"<[-32.5, 350]>"
1002,2038,Directed,1,"<[-36.0, 350]>"
2042,2043,Directed,1,"<[-40.0, 350]>"
2042,2044,Directed,1,"<[-40.0, 350]>"
1002,2045,Directed,1,"<[-40.0, 350]>"
1002,2042,Directed,1,"<[-40.0, 350]>"
1002,2046,Directed,1,"<[-39.5, 350]>"
1000,2050,Directed,1,"<[-32.5, 350]>"
1001,2050,Directed,1,"<[-32.5, 350]>"
1002,2050,Directed,1,"<[-32.5, 350]>"
1002,2051,Directed,1,"<[-26.0, 350]>"
1002,2052,Directed,1,"<[-26.0, 350]>"
2050,2052,Directed,1,"<[-22.0, 350]>"
1002,2054,Directed,1,"<[-25.0, 350]>"
2056,2055,Directed,1,"<[-25.0, 350]>"
2057,2055,Directed,1,"<[-25.0, 350]>"
