Source,Target,Timestamp,Type,Weight
2177,2176,<[97.5]>,Directed,1.0
2050,2052,<[-22.0]>,Directed,1.0
2178,2176,<[97.5]>,Directed,1.0
2436,2434,<[250.5]>,Directed,1.0
2182,2181,<[87.5]>,Directed,1.0
2311,2310,<[165.0]>,Directed,1.0
2056,2055,<[-25.0]>,Directed,1.0
2057,2055,<[-25.0]>,Directed,1.0
2316,2318,<[166.0]>,Directed,1.0
1020,2439,<[250.5]>,Directed,1.0
2453,2452,<[200.0]>,Directed,1.0
2454,2452,<[200.0]>,Directed,1.0
2327,2328,<[170.0]>,Directed,1.0
2331,2328,<[170.0]>,Directed,1.0
2332,2264,<[173.5]>,Directed,1.0
2207,2206,<[100.5]>,Directed,1.0
2469,2468,<[313.0]>,Directed,1.0
2470,2468,<[313.0]>,Directed,1.0
2471,2472,<[205.0]>,Directed,1.0
2298,2299,<[165.0]>,Directed,1.0
2219,2220,<[150.5]>,Directed,1.0
2222,2221,<[112.5]>,Directed,1.0
2223,2240,<[135.0]>,Directed,1.0
2226,2293,<[160.0]>,Directed,1.0
2484,2482,<[217.0]>,Directed,1.0
2229,2226,<[115.0]>,Directed,1.0
2229,2228,<[115.0]>,Directed,1.0
2485,2482,<[217.0]>,Directed,1.0
2235,2236,<[132.5]>,Directed,1.0
2108,2110,<[-50.5]>,Directed,1.0
2109,2110,<[-50.5]>,Directed,1.0
2238,2237,<[137.5]>,Directed,1.0
2254,2253,<[145.0]>,Directed,1.0
2254,2271,<[150.0]>,Directed,1.0
2255,2271,<[150.0]>,Directed,1.0
2256,2253,<[145.0]>,Directed,1.0
2257,2260,<[145.0]>,Directed,1.0
2002,2001,<[-87.5]>,Directed,1.0
2003,2001,<[-87.5]>,Directed,1.0
2004,2001,<[-87.5]>,Directed,1.0
2005,2001,<[-87.5]>,Directed,1.0
2130,2129,<[25.5]>,Directed,1.0
2007,2006,<[-87.5]>,Directed,1.0
2008,2006,<[-87.5]>,Directed,1.0
2009,2011,<[-85.0]>,Directed,1.0
2010,2011,<[-85.0]>,Directed,1.0
2139,2138,<[33.5]>,Directed,1.0
1016,2431,<[150.5]>,Directed,1.0
2258,2260,<[145.0]>,Directed,1.0
2402,2393,<[187.5]>,Directed,1.0
2019,2021,<[-70.0]>,Directed,1.0
2020,2021,<[-70.0]>,Directed,1.0
2275,2274,<[150.0]>,Directed,1.0
2404,2405,<[187.5]>,Directed,1.0
2151,2152,<[54.5]>,Directed,1.0
2024,2025,<[-50.0]>,Directed,1.0
1001,2050,<[-32.5]>,Directed,1.0
1001,2091,<[-25.0]>,Directed,1.0
1001,2106,<[-13.0]>,Directed,1.0
1001,2121,<[0.0]>,Directed,1.0
1001,2122,<[13.0]>,Directed,1.0
1001,2127,<[-6.5]>,Directed,1.0
1001,2128,<[-6.5]>,Directed,1.0
1001,2129,<[20.0]>,Directed,1.0
1001,2134,<[25.0]>,Directed,1.0
1001,2140,<[43.0]>,Directed,1.0
1001,2144,<[50.0]>,Directed,1.0
1001,2145,<[50.0]>,Directed,1.0
1001,2147,<[50.0]>,Directed,1.0
1001,2149,<[50.0]>,Directed,1.0
1001,2150,<[50.0]>,Directed,1.0
1001,2162,<[60.0]>,Directed,1.0
1001,2183,<[50.5]>,Directed,1.0
1001,2189,<[50.5]>,Directed,1.0
1001,2196,<[50.5]>,Directed,1.0
1001,2198,<[100.5]>,Directed,1.0
1001,2212,<[100.5]>,Directed,1.0
1001,2231,<[122.0]>,Directed,1.0
1001,2233,<[119.5]>,Directed,1.0
1001,2235,<[145.0]>,Directed,1.0
1001,2250,<[145.0]>,Directed,1.0
1001,2251,<[145.0]>,Directed,1.0
1001,2264,"<[171.0, 171.0]>",Directed,1.0
1001,2286,<[155.0]>,Directed,1.0
1001,2287,<[155.0]>,Directed,1.0
1001,2288,<[155.0]>,Directed,1.0
1001,2289,<[155.0]>,Directed,1.0
1001,2300,<[171.0]>,Directed,1.0
1001,2302,<[167.0]>,Directed,1.0
1001,2326,<[170.0]>,Directed,1.0
1001,2339,<[178.5]>,Directed,1.0
1001,2432,<[150.5]>,Directed,1.0
1001,2439,<[250.5]>,Directed,1.0
1001,2475,<[204.0]>,Directed,1.0
1001,2477,<[210.0]>,Directed,1.0
1001,2486,<[217.0]>,Directed,1.0
1001,2503,<[236.0]>,Directed,1.0
1001,2000,<[-87.5]>,Directed,1.0
1001,2517,<[275.0]>,Directed,1.0
1001,2019,<[-60.0]>,Directed,1.0
1001,2022,<[-61.5]>,Directed,1.0
1001,2029,<[-50.0]>,Directed,1.0
1001,2030,<[-50.0]>,Directed,1.0
1002,2050,<[-32.5]>,Directed,1.0
1002,2051,<[-26.0]>,Directed,1.0
1002,2052,<[-26.0]>,Directed,1.0
1002,2054,"<[-25.0, -20.0]>",Directed,1.0
1002,2091,"<[-25.0, -20.0]>",Directed,1.0
1002,2103,<[-20.0]>,Directed,1.0
1002,2104,<[-13.0]>,Directed,1.0
1002,2106,<[-13.0]>,Directed,1.0
1002,2111,<[-50.5]>,Directed,1.0
1002,2121,<[0.0]>,Directed,1.0
1002,2122,<[13.0]>,Directed,1.0
1002,2123,<[13.0]>,Directed,1.0
1002,2124,<[13.0]>,Directed,1.0
1002,2128,<[-6.5]>,Directed,1.0
1002,2129,<[20.0]>,Directed,1.0
1002,2134,<[25.0]>,Directed,1.0
1002,2140,<[43.0]>,Directed,1.0
1002,2142,<[50.0]>,Directed,1.0
1002,2144,<[50.0]>,Directed,1.0
1002,2145,<[50.0]>,Directed,1.0
1002,2147,<[50.0]>,Directed,1.0
1002,2149,<[50.0]>,Directed,1.0
1002,2150,<[50.0]>,Directed,1.0
1002,2162,<[60.0]>,Directed,1.0
1002,2186,<[50.5]>,Directed,1.0
1002,2189,<[50.5]>,Directed,1.0
1002,2196,<[50.5]>,Directed,1.0
1002,2201,<[100.5]>,Directed,1.0
1002,2212,<[100.5]>,Directed,1.0
1002,2231,<[122.0]>,Directed,1.0
1002,2235,<[145.0]>,Directed,1.0
1002,2250,<[145.0]>,Directed,1.0
1002,2251,<[145.0]>,Directed,1.0
1002,2264,"<[171.0, 171.0]>",Directed,1.0
1002,2286,<[155.0]>,Directed,1.0
1002,2287,<[155.0]>,Directed,1.0
1002,2288,<[155.0]>,Directed,1.0
1002,2289,<[155.0]>,Directed,1.0
1002,2300,<[171.0]>,Directed,1.0
1002,2302,<[167.0]>,Directed,1.0
1002,2326,<[170.0]>,Directed,1.0
1002,2339,<[178.5]>,Directed,1.0
1002,2386,<[202.0]>,Directed,1.0
1002,2391,<[187.5]>,Directed,1.0
1002,2432,<[150.5]>,Directed,1.0
1002,2439,<[250.5]>,Directed,1.0
1002,2475,<[204.0]>,Directed,1.0
1002,2477,<[210.0]>,Directed,1.0
1002,2503,<[236.0]>,Directed,1.0
1002,2000,<[-87.5]>,Directed,1.0
1002,2517,<[275.0]>,Directed,1.0
1002,2019,<[-60.0]>,Directed,1.0
1002,2023,<[-50.0]>,Directed,1.0
1002,2533,<[295.5]>,Directed,1.0
1002,2027,<[-50.0]>,Directed,1.0
1002,2029,<[-50.0]>,Directed,1.0
1002,2032,<[-40.0]>,Directed,1.0
1002,2033,<[-37.5]>,Directed,1.0
1002,2037,<[-32.5]>,Directed,1.0
1002,2038,<[-36.0]>,Directed,1.0
