ID,Label,Interval,Category,Type,Origin,Roman Citizenship
1000,Areopagus,"<[-73.0, 350]>",Institution,Public,Athens,
1001,Boule,"<[-87.5, 350]>",Institution,Public,Athens,
1002,Demos,"<[-87.5, 350]>",Institution,Public,Athens,
1004,Dionysiac Technitai,"<[-73.0, 350]>",Institution,Private,Athens,
1005,Sophiai,"<[175.0, 350]>",Institution,Private,Other,
1009,Boule of Korinth,"<[115.0, 350]>",Institution,Public,Corinth,
1012,Panhellenes,"<[136.5, 350]>",Institution,Public,Other,
1013,Sacred Gerousia,"<[178.5, 350]>",Institution,Public,Other,
1015,Eumolpidai,"<[-60.0, 350]>",Institution,Genos,Eleusis,
1016,Kerykes,"<[-25.0, 350]>",Institution,Genos,Eleusis,
1017,Lykomidai,"<[125.0, 350]>",Institution,Genos,Athens,
1020,Praxiergidai,"<[250.5, 350]>",Institution,Genos,Athens,
2000,UNC Kanephoros,"<[-87.5, 350]>",Athenian (No Roman Status),Male,Athens,
2001,Ameinokleia Philanthou,"<[-87.5, 350]>",Athenian (No Roman Status),Female,Athens,
2002,Theophilos,"<[-87.5, 350]>",Athenian (No Roman Status),Male,Athens,
2003,Philanthes,"<[-87.5, 350]>",Athenian (No Roman Status),Male,Athens,
2004,Diopeithes,"<[-87.5, 350]>",Athenian (No Roman Status),Male,Athens,
2005,Eurydike,"<[-87.5, 350]>",Athenian (No Roman Status),Female,Athens,
2006,[?] Heath-Initiate,"<[-87.5, 350]>",Athenian (No Roman Status),Uncertain,Athens,
2007,[?] Father,"<[-87.5, 350]>",Athenian (No Roman Status),Male,Athens,
2008,[?] Mother,"<[-87.5, 350]>",Athenian (No Roman Status),Female,Athens,
2009,Dionysios Dionysiou,"<[-85.0, 350]>",Athenian (No Roman Status),Male,Athens,
2010,Epiphaneia Hermolykou,"<[-85.0, 350]>",Athenian (No Roman Status),Female,Athens,
2011,Epiphaneia II Athenagorou,"<[-85.0, 350]>",Athenian (No Roman Status),Female,Athens,
2012,Philemon,"<[-73.0, 350]>",Athenian (No Roman Status),Male,Athens,
2019,Medeios Medeiou,"<[-70.0, 350]>",Athenian (No Roman Status),Male,Athens,
2020,Diphila Diokleous,"<[-70.0, 350]>",Athenian (No Roman Status),Female,Athens,
2021,Timothea Medeiou,"<[-70.0, 350]>",Athenian (No Roman Status),Female,Athens,
2022,[?] Tamias,"<[-61.5, 350]>",Athenian (No Roman Status),Male,Athens,
2023,T. Pinarius,"<[-50.0, 350]>",Roman,Male,Rome,
2024,Ktesikleia Apollonioiu,"<[-50.0, 350]>",Athenian (No Roman Status),Female,Athens,
2025,Sophokles Xenokleous,"<[-50.0, 350]>",Athenian (No Roman Status),Male,Athens,
2027,Kleo Dionysiou,"<[-50.0, 350]>",Athenian (No Roman Status),Female,Athens,
2029,[?] Heath-Initiate,"<[-50.0, 350]>",Athenian (No Roman Status),Uncertain,Athens,
2030,[?] Heath-Initiate,"<[-50.0, 350]>",Athenian (No Roman Status),Uncertain,Athens,
2032,[?] Daduch from Hagnous,"<[-40.0, 350]>",Athenian (No Roman Status),Male,Athens,
2033,Dionysios Athenagorou,"<[-37.5, 350]>",Athenian (No Roman Status),Male,Athens,
2037,[?] Hierophantis Amphiou,"<[-32.5, 350]>",Athenian (No Roman Status),Female,Athens,
2038,L. Munatius Plancus,"<[-36.0, 350]>",Roman,Male,Rome,
2042,Khrysothemis Phaidrou,"<[-40.0, 350]>",Athenian (No Roman Status),Female,Athens,
2043,Phaidros Lysiadou,"<[-40.0, 350]>",Athenian (No Roman Status),Male,Athens,
2044,Pomponianus Atticus,"<[-40.0, 350]>",Roman,Male,Rome,
2045,Lysiades Phaidrou,"<[-40.0, 350]>",Athenian (No Roman Status),Female,Athens,
2046,Sempronia,"<[-39.5, 350]>",Roman,Female,Rome,
2050,Kallikratides Syndromou,"<[-32.5, 350]>",Athenian (No Roman Status),Male,Athens,
2051,Livia Drusilla,"<[-26.0, 350]>",Roman,Female,Rome,
2052,Augustus,"<[-26.0, 350]>",Roman,Male,Rome,
2054,Theophrastos Themistokleous,"<[-25.0, 350]>",Athenian (No Roman Status),Male,Athens,
2055,Lamidion Apolexidos,"<[-25.0, 350]>",Athenian (No Roman Status),Male,Athens,
2056,Apolexis I,"<[-25.0, 350]>",Athenian (No Roman Status),Male,Athens,
2057,Ladameia Lysandrou,"<[-25.0, 350]>",Athenian (No Roman Status),Female,Athens,
2091,Themistokles II Theophrastou,"<[-25.0, 350]>",Athenian (No Roman Status),Male,Athens,
2103,Sophokles Theophrastou,"<[-20.0, 350]>",Athenian (No Roman Status),Male,Athens,
2104,[?] Hearth-Initiate Themistokleous,"<[-13.0, 350]>",Athenian (No Roman Status),Male,Athens,
2106,Polyainos Nikandrou,"<[-13.0, 350]>",Athenian (No Roman Status),Male,Athens,
2108,[.]kleides,"<[-50.5, 350]>",Athenian (No Roman Status),Male,Athens,
2109,Phainarete Att[.],"<[-50.5, 350]>",Athenian (No Roman Status),Female,Athens,
2110,Diotima,"<[-50.5, 350]>",Athenian (No Roman Status),Female,Athens,
2111,Diodotos Kalliphontos,"<[-50.5, 350]>",Athenian (No Roman Status),Male,Athens,
2114,Dionysios Dionysiou,"<[50.0, 350]>",Athenian (No Roman Status),Male,Athens,
2121,Atheno Niketou,"<[0.0, 350]>",Athenian (No Roman Status),Male,Athens,
2122,Pammenes Pammenous,"<[13.0, 350]>",Athenian (No Roman Status),Male,Athens,
2123,Hierophantis Mos[kh.],"<[13.0, 350]>",Athenian (No Roman Status),Female,Athens,
2124,Antamenes Leontikhou,"<[13.0, 350]>",Athenian (No Roman Status),Male,Athens,
2127,[O?]knia Polykharmou,"<[-6.5, 350]>",Athenian (No Roman Status),Female,Athens,
2128,Polykharmos Polykritos,"<[-6.5, 350]>",Athenian (No Roman Status),Male,Athens,
2129,Emperor Tiberius,"<[-6.5, 350]>",Roman,Male,Rome,
2130,Theophilos Eudoxou,"<[25.5, 350]>",Athenian (No Roman Status),Male,Athens,
2134,Iulia Augusta,"<[25.0, 350]>",Roman,Female,Rome,
2138,Polykharmos Eukleous,"<[33.5, 350]>",Athenian (No Roman Status),Male,Athens,
2139,Eimertos Polykharmos,"<[25.5, 350]>",Athenian (No Roman Status),Male,Athens,
2140,T. Statilius Lamprias,"<[43.0, 350]>",Roman,Male,Rome,
2142,P. Papinius Statius,"<[50.0, 350]>",Roman,Male,Rome,
