"Sponsor ID","Honorand ID","Inscription ID","Sponsor Name","Sponsor Category","Sponsor Origin","Sponsor Gender","Sponsor Type","Sponsor Class","Sponsor Athenian Citizenship","Sponsor Roman Citizenship","Sponsor Family","Sponsor Extended Family","Sponsor Demotic","Sponsor Uncertain Person","Honorand Name","Honorand Category","Honorand Origin","Honorand Gender","Honorand Type","Honorand Class","Honorand Athenian Citizenship","Honorand Roman Citizenship","Honorand Family","Honorand Extended Family","Honorand Uncertain Person","Honorand Demotic","Inscription","Object Type","Inscription Type","Likely Site","Date","Date Span"
"1002","2000","267","Demos","Athenian","Athens","","Public","Institution","","","","","","","UNC Kanephoros","Athenian","Athens","Male","","Person","t","f","","","t","","Statue Base for an Unknown Kanephoros","Base","Dedication","Outer Courtyard","-87.5","25"
"1001","2000","267","Boule","Athenian","Athens","","Public","Institution","","","","","","","UNC Kanephoros","Athenian","Athens","Male","","Person","t","f","","","t","","Statue Base for an Unknown Kanephoros","Base","Dedication","Outer Courtyard","-87.5","25"
"1004","2012","271","Dionysiac Technitai","Athenian","Athens","","Private","Institution","","","","","","","Philemon","Athenian","Athens","Male","","Person","t","f","","","f","","Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon","Base","Decree","","-73","6"
"1002","2019","275","Demos","Athenian","Athens","","Public","Institution","","","","","","","Medeios Medeiou","Athenian","Athens","Male","","Person","t","f","Medeiotes","","f","Peiraieus","Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai","Base","Dedication","North of the Telesterion","-60","10"
"1001","2019","275","Boule","Athenian","Athens","","Public","Institution","","","","","","","Medeios Medeiou","Athenian","Athens","Male","","Person","t","f","Medeiotes","","f","Peiraieus","Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai","Base","Dedication","North of the Telesterion","-60","10"
"1001","2022","274","Boule","Athenian","Athens","","Public","Institution","","","","","","","[?] Tamias","Athenian","Athens","Male","","Person","t","f","","","f","","Dedication in Honor of a Tamias","Base","Dedication","","-61.5","1"
"1002","2023","276","Demos","Athenian","Athens","","Public","Institution","","","","","","","T. Pinarius","Roman","Rome","Male","","Person","f","t","","","f","","Statue Base for Titus Pinarius","Base","Dedication","","-50","10"
"1002","2027","280","Demos","Athenian","Athens","","Public","Institution","","","","","","","Kleo Dionysiou","Athenian","Athens","Female","","Person","t","f","","","f","Ikarion","Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus","Base","Dedication","Between the Propylaea","-50","20"
"1002","2029","282","Demos","Athenian","Athens","","Public","Institution","","","","","","","[?] Heath-Initiate","Athenian","Athens","Uncertain","","Person","t","f","","","f","","Statue Base for Unknown Hearth-Initiate","Stele","Dedication","Between the Propylaea","-50","20"
"1001","2029","282","Boule","Athenian","Athens","","Public","Institution","","","","","","","[?] Heath-Initiate","Athenian","Athens","Uncertain","","Person","t","f","","","f","","Statue Base for Unknown Hearth-Initiate","Stele","Dedication","Between the Propylaea","-50","20"
