"Source","Target","Label","Weight","Type","Inscription","Object Type","Inscription Type","Likely Site","Date","Date Span"
"1002","2000","267","1","Directed","Statue Base for an Unknown Kanephoros","Base","Dedication","Outer Courtyard","-87.5","25"
"1001","2000","267","1","Directed","Statue Base for an Unknown Kanephoros","Base","Dedication","Outer Courtyard","-87.5","25"
"1004","2012","271","1","Directed","Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon","Base","Decree","","-73","6"
"1002","2019","275","1","Directed","Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai","Base","Dedication","North of the Telesterion","-60","10"
"1001","2019","275","1","Directed","Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai","Base","Dedication","North of the Telesterion","-60","10"
"1001","2022","274","1","Directed","Dedication in Honor of a Tamias","Base","Dedication","","-61.5","1"
"1002","2023","276","1","Directed","Statue Base for Titus Pinarius","Base","Dedication","","-50","10"
"1002","2027","280","1","Directed","Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus","Base","Dedication","Between the Propylaea","-50","20"
"1002","2029","282","1","Directed","Statue Base for Unknown Hearth-Initiate","Stele","Dedication","Between the Propylaea","-50","20"
"1001","2029","282","1","Directed","Statue Base for Unknown Hearth-Initiate","Stele","Dedication","Between the Propylaea","-50","20"
"1001","2030","283","1","Directed","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","Between the Propylaea","-50","20"
"1002","2032","285","1","Directed","Statue Base for an Unknown Daduch of Hagnous","Base","Dedication","","-40","20"
"1002","2033","286","1","Directed","Statue Base for Dionysios Athenagorou Meliteus","Base","Dedication","Between the Propylaea","-37.5","25"
"1002","2037","288","1","Directed","State Base for Hierophantis Amphiou Philadou","Base","Dedication","","-32.5","35"
"1002","2038","289","1","Directed","Statue Base for Lucius Munatius Plancus","Base","Dedication","South Wall","-36","10"
"1002","2042","678","1","Directed","Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos","Base","Dedication","","-40","10"
"1002","2045","677","1","Directed","Statue Base for Lysiades Phaidrou Berenikides, Dedicated by the Demos","Base","Dedication","","-40","10"
"1002","2046","292","1","Directed","Statue Base for Sempronia L.F. Atratina","Base","Dedication","","-39.5","11"
"1002","2050","295","1","Directed","Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General","Base","Dedication","South Wall","-32.5","5"
"1001","2050","295","1","Directed","Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General","Base","Dedication","South Wall","-32.5","5"
"1000","2050","295","1","Directed","Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General","Base","Dedication","South Wall","-32.5","5"
"1002","2051","703","1","Directed","Livia Drousilla, Wife of the Emperor Augustus Caesar","Building or Monument","Dedication","","-26","10"
"1002","2052","704","1","Directed","Statue Base for the Emperor Augustus Caesar, Son of the Divine Iulius, Dedicated by the Demos","Building or Monument","Dedication","","-26","10"
"1002","2054","679","1","Directed","Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos","Base","Dedication","","-20","10"
"1002","2054","298","1","Directed","Statue Base for Theophrastos Themistokleous Hagnousios, Daduch","Base","Dedication","","-25","10"
"1002","2091","680","1","Directed","Statue Base for the Daduch Themistokles, Son of the Daduch Themistokles, Dedicated by the Demos","Base","Dedication","","-20","10"
"1002","2091","300","1","Directed","Honorary Decree for Themistokles Theophrastou Hagnousios","Base","Decree","","-25","10"
"1001","2091","300","1","Directed","Honorary Decree for Themistokles Theophrastou Hagnousios","Base","Decree","","-25","10"
"1002","2103","681","1","Directed","Statue Base Sophokles, Son of Theophrastos, of Hagnous","Base","Dedication","","-20","10"
"1002","2104","302","1","Directed","Statue Base for an Unknown Hearth-Initiate, son of Themistokles Hagnousios","Base","Dedication","Before the Telestrion","-13","24"
"1002","2106","305","1","Directed","Statue Base for Polyainos Nikandrou Sounieus","Base","Dedication","","-13","24"
"1001","2106","305","1","Directed","Statue Base for Polyainos Nikandrou Sounieus","Base","Dedication","","-13","24"
"1002","2111","308","1","Directed","Statue Base for Diodotos Kalliphontos Pamotades","Base","Dedication","","-50.5","99"
"1000","2114","312","1","Directed","Statue Base for Dionysios Son of Dionysios","Stele","Dedication","","50","300"
"1002","2121","323","1","Directed","Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate","Base","Dedication","","0","50"
"1001","2121","323","1","Directed","Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate","Base","Dedication","","0","50"
"1000","2121","323","1","Directed","Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate","Base","Dedication","","0","50"
"1015","2122","324","1","Directed","Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai","Base","Dedication","Before the Telestrion","13","24"
"1002","2122","324","1","Directed","Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai","Base","Dedication","Before the Telestrion","13","24"
"1001","2122","324","1","Directed","Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai","Base","Dedication","Before the Telestrion","13","24"
"1000","2122","324","1","Directed","Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai","Base","Dedication","Before the Telestrion","13","24"
"1002","2123","325","1","Directed","Statue Base for a Unknown Hierophantis","Base","Dedication","","13","24"
"1002","2124","327","1","Directed","Statue Base for Antamenes Leontichou Epieikides","Base","Dedication","Outer Courtyard","13","24"
"1000","2124","327","1","Directed","Statue Base for Antamenes Leontichou Epieikides","Base","Dedication","Outer Courtyard","13","24"
"1001","2127","329","1","Directed","Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia","Other/Fragment","Dedication","","-6.5","41"
"1002","2128","330","1","Directed","Statue Base for Polycharmos Polykritou Azenieus","Base","Dedication","","-6.5","41"
"1001","2128","329","1","Directed","Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia","Other/Fragment","Dedication","","-6.5","41"
"1002","2129","334","1","Directed","Monument for Emperor Tiberius","Base","Dedication","","20","10"
"1001","2129","334","1","Directed","Monument for Emperor Tiberius","Base","Dedication","","20","10"
"1000","2129","334","1","Directed","Monument for Emperor Tiberius","Base","Dedication","","20","10"
"1002","2134","335","1","Directed","Monument for Iulia Augusta","Other/Fragment","Dedication","","25","10"
"1001","2134","335","1","Directed","Monument for Iulia Augusta","Other/Fragment","Dedication","","25","10"
"1000","2134","335","1","Directed","Monument for Iulia Augusta","Other/Fragment","Dedication","","25","10"
"1002","2140","345","1","Directed","Statue Base for Titus Statilius Lamprias","Base","Dedication","","43","10"
"1001","2140","345","1","Directed","Statue Base for Titus Statilius Lamprias","Base","Dedication","","43","10"
