"ID","Label","Category","Origin","Gender","Type","Class","Athenian Citizenship","Roman Citizenship","Family","Extended Family","Deme","Uncertain Person"
"1002","Demos","Athenian","Athens","","Public","Institution","","","","","",""
"1003","Tribe of Antiochis","Athenian","Athens","","Public","Institution","","","","","",""
"1015","Eumolpidai","Eleusinian","Eleusis","","Genos","Institution","","","","","",""
"1004","Dionysiac Technitai","Athenian","Athens","","Private","Institution","","","","","",""
"1013","Sacred Gerousia","Panhellenic","Other","","Public","Institution","","","","","",""
"1012","Panhellenes","Panhellenic","Other","","Public","Institution","","","","","",""
"1016","Kerykes","Eleusinian","Eleusis","","Genos","Institution","","","","","",""
"1006","Philoi","Other","Other","","Private","Institution","","","","","",""
"1020","Praxiergidai","Athenian","Athens","","Genos","Institution","","","","","",""
"1000","Areopagus","Athenian","Athens","","Public","Institution","","","","","",""
"1010","Samian Demos","Greek","Samos","","Public","Institution","","","","","",""
"1001","Boule","Athenian","Athens","","Public","Institution","","","","","",""
"1005","Sophiai","Other","Other","","Private","Institution","","","","","",""
"1009","Boule of Korinth","Greek","Corinth","","Public","Institution","","","","","",""
"1024","Samian Boule","Greek","Samos","","Public","Institution","","","","","",""
"1017","Lykomidai","Athenian","Athens","","Genos","Institution","","","","","",""
"2219","[?] Woman","Athenian","Athens","Female","","Person","f","f","","","","t"
"2258","Nummia Bassa","Athenian","Athens","Female","","Person","t","t","","","","f"
"2010","Epiphaneia Hermolykou","Athenian","Athens","Female","","Person","t","f","","","Marathon","f"
"2454","P. Ail. Herennia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2327","Iul. Theodotos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2130","Theophilos Eudoxou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2256","Annius Thrasyllos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2020","Diphila Diokleous","Athenian","Athens","Female","","Person","t","f","Medeiotes","","Melite","f"
"2009","Dionysios Dionysiou","Athenian","Athens","Male","","Person","t","f","","","Sphettos","f"
"2019","Medeios Medeiou","Athenian","Athens","Male","","Person","t","f","Medeiotes","","Peiraieus","f"
"2108","[.]kleides","Athenian","Athens","Male","","Person","t","f","","","","t"
"2042","Khrysothemis Phaidrou","Athenian","Athens","Female","","Person","t","f","Lysiadidai","","Berenikidai","f"
"2151","Ti. Kl. Eukles Sostratou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2155","G. Iul. Polkhos Sounieus","Athenian","Athens","Male","","Person","t","t","","","","f"
"2254","Iun. Patron","Athenian","Athens","Male","","Person","t","t","","","","f"
"2453","P. Ail Apollonios","Athenian","Athens","Male","","Person","t","t","","","","f"
"2008","[?] Mother","Athenian","Athens","Female","","Person","t","f","","","","t"
"2164","[?] Imperial Priest","Athenian","Athens","Male","","Person","t","f","","","","t"
"2301","Ail. Kh[?]","Athenian","Athens","Uncertain","","Person","t","t","","","","f"
"2141","Kleophatra Iophontos","Athenian","Athens","Female","","Person","t","f","","","","f"
"2275","Cornelia [?]","Athenian","Athens","Female","","Person","f","t","","","","t"
"2007","[?] Father","Athenian","Athens","Male","","Person","t","f","","","","t"
"2255","Annia Aristokleia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2160","Kl. [?] Asklepiodorou","Athenian","Athens","Male","","Person","t","t","","","","t"
"2057","Ladameia Lysandrou","Athenian","Athens","Female","","Person","t","f","","","Peiraieus","f"
"2436","Onesime Papiou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2226","Ti. Kl. Herodes Attikos Kl. Attikou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2178","Kl. [?] Mother of Seilianos","Athenian","Athens","Male","","Person","t","t","","","","t"
"2202","[.]okleia wife of Metrodoros","Athenian","Athens","Female","","Person","t","f","","","","f"
"2235","Vipsania Lailiane","Athenian","Athens","Female","","Person","t","t","","","","f"
"2005","Eurydike","Athenian","Athens","Female","","Person","t","f","","","Halai Aixonides","f"
"2003","Philanthes","Athenian","Athens","Male","","Person","t","f","","","Halai Aixonides","f"
"2109","Phainarete Att[.]","Athenian","Athens","Female","","Person","t","f","","","","t"
"2024","Ktesikleia Apollonioiu","Athenian","Athens","Female","","Person","t","f","","","","f"
"2229","Cocceius Censorinus","Roman","Rome","Male","","Person","f","t","","","","f"
"2331","Iul. Kephisodora","Athenian","Athens","Female","","Person","t","t","","","","f"
"2485","Aur. Magna II Magnou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2402","P. Pom. Hegios II","Athenian","Athens","Male","","Person","t","t","","","","f"
"2471","Licinius Kallistomakhos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2056","Apolexis I","Athenian","Athens","Male","","Person","t","f","","","Oion","f"
"2207","Kallikleia","Athenian","Athens","Female","","Person","t","f","","","","f"
