"ID";"Label";"Start";"Stop";"Class";"Type";"Origin";"Gender";"Athenian with Roman Citizenship";"Family";"Extended";"Deme"
2280;"Klementiane";175;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";""
2021;"Timothea Medeiou";-70;350.0;"Person";"";"Athenian";"Female";"FALSE";"Medeiotes";"";"Peiraius"
2221;"Hierophantis Perikleous";112.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Oion"
2103;"Sophokles Theophrastou";-20;350.0;"Person";"";"Athenian";"Male";"FALSE";"Hagnous/Akharnid Daduchs";"Hagnous/Akharnid Daduchs";"Akharnai"
2057;"Ladameia Lysandrou";-25;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Peiraius"
2110;"Diotima";-50.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
1002;"Demos";;350.0;"Institution";"Public";"Athenian";"";"";"";"";""
2486;"Aur. Paramona Paramonou";217;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Lamptrai"
2472;"Kl. Kallistomakhos";205;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2124;"Antamenes Leontikhou";13;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Epieikidai"
2230;"Agrius Saturninus";122;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2251;"L. Vipsanius Lailianos";145;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Phlya"
2391;"Nikostrate Meneou";187.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Berenikidai"
2481;"Ptolemais Serenou Gaza";206.5;350.0;"Person";"";"Other Greek";"Male";"FALSE";"";"";""
2235;"Vipsania Lailiane";132.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Kephesia"
2482;"Aur. Magna";217;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Pithos"
2461;"Sekoundos the Eumolpid";200;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
1013;"Sacred Gerousia";;350.0;"Institution";"Public";"Other Greek";"";"";"";"";""
2027;"Kleo Dionysiou";-50;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Ikarion"
2484;"Aur. Epaphrodeitos Asklepiadou";217;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Pithos"
2186;"[.]ppos Herokleitou";50.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Gargettos"
1009;"Boule of Korinth";;350.0;"Institution";"Public";"Other Greek";"";"";"";"";""
1016;"Kerykes";;350.0;"Institution";"Genos";"Athenian";"";"";"";"";""
2231;"Ael. Lysistrate";122;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";""
