"Source","Target","Type","Label","Start","Stop","Weight","Inscription ID","IE","Inscription","Object","Inscription Type","Location","Date","Date Span","Word Count","Character Count","Text","References"
2172,2171,"Directed","IE 370: Base",85,350.0,1,370,"370","Statue Base for Publius Fulvius Metrodoros, Hearth-Initiate","Base","Dedication","",85,10,18,108,"Πούπλιος Φούλβιος Μάξιμος Σουνιεὺς μυηθέντα ἀφ ἑστίας Πούπλιον Φούλβιον Μητρόδωρον τὸν ἑαυτοῦ υἱὸν Δή μητρι καὶ Κόρῃ ἀνέθηκεν","IG II2 3581 +"
2207,2206,"Directed","IE 399: Base",100.5,350.0,1,399,"399","Statue Base for Kallisto, Daughter of Kallimakhos","Base","Dedication","Before the Telestrion",100.5,199,35,196,"οὔνομα Καλλιστώ μήτηρ δέ με Καλλίκλεια θυγατέρα ἰφθείμην εἵσατο Καλλιμάχου τοῦτο δὲ πατρὶ φίλωι μοι Ἀρήιος ὤπασεν ἕδρη ἐς γέρας ἀθανάτων ἱστάμεθ ἀγχίθυροι Δηοῦς καὶ Κούρης δαιδηφό ρου οὐδέ με νύκτες λήσοντ ἠελίου κάλλει λαμπόμεναι","IG II2 4058"
2207,2208,"Directed","IE 399: Base",100.5,350.0,1,399,"399","Statue Base for Kallisto, Daughter of Kallimakhos","Base","Dedication","Before the Telestrion",100.5,199,35,196,"οὔνομα Καλλιστώ μήτηρ δέ με Καλλίκλεια θυγατέρα ἰφθείμην εἵσατο Καλλιμάχου τοῦτο δὲ πατρὶ φίλωι μοι Ἀρήιος ὤπασεν ἕδρη ἐς γέρας ἀθανάτων ἱστάμεθ ἀγχίθυροι Δηοῦς καὶ Κούρης δαιδηφό ρου οὐδέ με νύκτες λήσοντ ἠελίου κάλλει λαμπόμεναι","IG II2 4058"
2207,2209,"Directed","IE 399: Base",100.5,350.0,1,399,"399","Statue Base for Kallisto, Daughter of Kallimakhos","Base","Dedication","Before the Telestrion",100.5,199,35,196,"οὔνομα Καλλιστώ μήτηρ δέ με Καλλίκλεια θυγατέρα ἰφθείμην εἵσατο Καλλιμάχου τοῦτο δὲ πατρὶ φίλωι μοι Ἀρήιος ὤπασεν ἕδρη ἐς γέρας ἀθανάτων ἱστάμεθ ἀγχίθυροι Δηοῦς καὶ Κούρης δαιδηφό ρου οὐδέ με νύκτες λήσοντ ἠελίου κάλλει λαμπόμεναι","IG II2 4058"
2057,2055,"Directed","IE 299: Base",-25,350.0,1,299,"299","Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate","Base","Dedication","",-25,10,21,120,"Λαμίδιον Ἀπολήξιδος ἐξ Οἴου θυγατέρα ὁ πατὴρ καὶ ἡ μήτηρ Λαδάμεια Λυσάνδρου Πειραιέως θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3519 +,Schmalz 164"
2057,2056,"Directed","IE 299: Base",-25,350.0,1,299,"299","Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate","Base","Dedication","",-25,10,21,120,"Λαμίδιον Ἀπολήξιδος ἐξ Οἴου θυγατέρα ὁ πατὴρ καὶ ἡ μήτηρ Λαδάμεια Λυσάνδρου Πειραιέως θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3519 +,Schmalz 164"
2056,2055,"Directed","IE 299: Base",-25,350.0,1,299,"299","Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate","Base","Dedication","",-25,10,21,120,"Λαμίδιον Ἀπολήξιδος ἐξ Οἴου θυγατέρα ὁ πατὴρ καὶ ἡ μήτηρ Λαδάμεια Λυσάνδρου Πειραιέως θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3519 +,Schmalz 164"
2056,2057,"Directed","IE 299: Base",-25,350.0,1,299,"299","Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate","Base","Dedication","",-25,10,21,120,"Λαμίδιον Ἀπολήξιδος ἐξ Οἴου θυγατέρα ὁ πατὴρ καὶ ἡ μήτηρ Λαδάμεια Λυσάνδρου Πειραιέως θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3519 +,Schmalz 164"
2010,2009,"Directed","IE 270: Base",-85,350.0,1,270,"270","Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus","Base","Dedication","",-85,10,23,159,"Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3480"
2010,2011,"Directed","IE 270: Base",-85,350.0,1,270,"270","Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus","Base","Dedication","",-85,10,23,159,"Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3480"
