"IE","Sponsor","Honorand","Inscription","Object Type","Inscription Type","Location","Date","Date Span","Word Count","Character Count","Text","References","Sponsor Class","Sponsor Origin","Sponsor Status","Sponsor Type","Sponsor Gender","Sponsor Family","Sponsor Extended Family","Sponsor Deme","Honorand Origin","Honorand Status","Honorand Type","Honorand Gender","Honorand Family","Honorand Extended Family","Honorand Deme","Inscription ID","Sponsor ID","Honorand ID","Sponsor Uncertainty","Honorand Uncertainty"
"267","Boule","UNC Kanephoros","Statue Base for an Unknown Kanephoros","Base","Dedication","Outer Courtyard",-87.5,25,34,186,"ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Σ ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν Ἀσκληπιῶι ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Μητρὶ θεῶν ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Ἀφροδίτηι Ἀλωπεκῆσι ἐπὶ ἱερείας Ἀμεινοκλείας τῆς Φιλάνθου Φυλασίου θυγατρός","IG II2 3220,SEG 59 201","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","","","",267,1001,2000,f,t
"267","Demos","UNC Kanephoros","Statue Base for an Unknown Kanephoros","Base","Dedication","Outer Courtyard",-87.5,25,34,186,"ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Σ ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν Ἀσκληπιῶι ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Μητρὶ θεῶν ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Ἀφροδίτηι Ἀλωπεκῆσι ἐπὶ ἱερείας Ἀμεινοκλείας τῆς Φιλάνθου Φυλασίου θυγατρός","IG II2 3220,SEG 59 201","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","","","",267,1002,2000,f,t
"268","Theophilos","Ameinokleia Philanthou","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495","Person","Athenian","Athenian without Roman Citizenship","","Male","","","Halai Aixonides","Athenian","Athenian without Roman Citizenship","","Female","","","Phlya",268,2002,2001,f,f
"268","Philanthes","Ameinokleia Philanthou","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495","Person","Athenian","Athenian without Roman Citizenship","","Male","","","Halai Aixonides","Athenian","Athenian without Roman Citizenship","","Female","","","Phlya",268,2003,2001,f,f
"268","Diopeithes","Ameinokleia Philanthou","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495","Person","Athenian","Athenian without Roman Citizenship","","Male","","","Halai Aixonides","Athenian","Athenian without Roman Citizenship","","Female","","","Phlya",268,2004,2001,f,f
"268","Eurydike","Ameinokleia Philanthou","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495","Person","Athenian","Athenian without Roman Citizenship","","Female","","","Halai Aixonides","Athenian","Athenian without Roman Citizenship","","Female","","","Phlya",268,2005,2001,f,f
"269","[?] Father","[?] Heath-Initiate","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","",-87.5,25,19,107,"ρίδου Δεκελεέως θυγατέρα ὁ πατὴρ ρίδης Δεκελεεὺς καὶ ἡ μήτηρ Μοσχίωνος θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","","Person","Athenian","Athenian without Roman Citizenship","","Male","","","","Athenian","Athenian without Roman Citizenship","","Uncertain","","","",269,2007,2006,t,t
"269","[?] Mother","[?] Heath-Initiate","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","",-87.5,25,19,107,"ρίδου Δεκελεέως θυγατέρα ὁ πατὴρ ρίδης Δεκελεεὺς καὶ ἡ μήτηρ Μοσχίωνος θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","","Person","Athenian","Athenian without Roman Citizenship","","Female","","","","Athenian","Athenian without Roman Citizenship","","Uncertain","","","",269,2008,2006,t,t
"270","Dionysios Dionysiou","Epiphaneia II Athenagorou","Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus","Base","Dedication","",-85,10,23,159,"Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3480","Person","Athenian","Athenian without Roman Citizenship","","Male","","","Sphettos","Athenian","Athenian without Roman Citizenship","","Female","Athenagoridai","","Melite",270,2009,2011,f,f
"270","Epiphaneia Hermolykou","Epiphaneia II Athenagorou","Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus","Base","Dedication","",-85,10,23,159,"Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3480","Person","Athenian","Athenian without Roman Citizenship","","Female","","","Marathon","Athenian","Athenian without Roman Citizenship","","Female","Athenagoridai","","Melite",270,2010,2011,f,f
