Honor ID,Inscription ID,Appearances,Notes
kanephoros,267,1,
kanephoros,267,1,
kanephoros,267,1,
kanephoros,267,1,
priestess_to_demeter_and_kore,267,1,
priestess_to_demeter_and_kore,268,1,
hearth_initiate,269,1,
hearth_initiate,270,1,
eponymous_archon,270,2,
epimelete_of_dionysiac_technitai,271,4,
underwriter_of_dionysiac_technitai,271,1,
restorer_of_altar,271,1,
khoregos,271,1,
misc_offices,271,1,
hearth_initiate,273,1,
tamias,274,1,
priestess_to_demeter_and_kore,275,1,
exegete_of_eumolpidai,275,1,
daduch,277,1,
daduch,278,1,
priestess_to_demeter_and_kore,279,1,
priestess_to_demeter_and_kore,281,1,
priestess_to_demeter_and_kore,282,1,
hearth_initiate,282,1,
kanephoros,282,1,
hearth_initiate,283,1,
kanephoros,283,1,
priestess_to_demeter_and_kore,284,1,
daduch,285,1,
hierophantis,288,1,
imperator,289,1,
imperator,290,1,
consul,290,1,
pythokhrestos_exegete,295,1,
imperial_priest,297,1,
agonothete,297,1,
herald_of_areopagus,297,1,
daduch,298,1,
hearth_initiate,299,1,
eponymous_archon,300,1,
daduch,300,1,
secretary_of_demos,300,1,
proedros,300,1,
altar_priest,300,1,
pyrphoros,300,1,
priest_of_graces,300,1,
priest_of_artemis_epipyrgidia,300,1,
priest_of_panages,300,1,
priest_of_hermes_patroos,300,1,
priest_of_apollo_pythios,300,1,
stone_bearer,300,1,
priest_of_zeus_horios,300,1,
priest_of_athena_horios,300,1,
priest_of_poseidon_prosbasterios,300,1,
priest_of_poseidon_themelioukhos,300,1,
hymnagogos,300,1,
hierokeryx,300,1,
hearth_initiate,302,1,
daduch,302,3,
hearth_initiate,307,1,
hearth_initiate,317,1,
hearth_initiate,318,1,
hearth_initiate,319,1,
hearth_initiate,323,1,
exegete_of_eumolpidai,324,1,
hierophantis,325,1,
hearth_initiate,329,1,
priest_of_asklepios,331,1,
priest_of_roman_senate_and_people,332,1,
priest_of_graces,333,1,
priestess_to_demeter_and_kore,334,1,
imperial_priest,334,1,
priestess_to_demeter_and_kore,335,1,
imperial_priest,335,1,
exegete_of_eumolpidai,336,1,
exegete_of_eumolpidai,337,1,
priestess_to_demeter_and_kore,341,1,
priest_of_demos,341,1,
priest_of_sebaiste_dikaiosyne,341,1,
priestess_to_demeter_and_kore,342,1,
priestess_to_demeter_and_kore,343,1,
eponymous_archon,343,1,
priestess_to_demeter_and_kore,344,1,
imperial_priest,344,1,
priest_of_apollo_patroos,344,1,
daduch,348,1,
daduch,349,1,
eumolpid,350,1,
hearth_initiate,351,1,
imperial_priest,354,1,
imperial_priest,355,1,
hoplite_general,356,1,
agonothete_of_megaloi_kaisareoi_sebastoi,356,1,
agonothete_of_panathenaia,356,1,
hearth_initiate,357,1,
priestess_to_demeter_and_kore,358,1,
hoplite_general,358,2,
herald_of_areopagus,358,1,
agonothete_of_megaloi_kaisareoi_sebastoi,358,1,
exegete_of_eumolpidai,359,1,
imperial_priest,361,1,
emperor,363,1,
imperial_priest,363,1,
priestess_to_demeter_and_kore,364,1,
hearth_initiate,364,1,
hearth_initiate,365,1,
priestess_to_demeter_and_kore,369,1,
hearth_initiate,370,1,
priestess_to_demeter_and_kore,371,1,
hierophantis,371,1,
priestess_to_demeter_and_kore,372,1,
priestess_to_demeter_and_kore,373,1,
hearth_initiate,373,1,
priestess_to_demeter_and_kore,374,1,
hearth_initiate,374,1,
priestess_to_demeter_and_kore,375,1,
priestess_to_demeter_and_kore,376,1,
herald_of_areopagus,377,1,
priestess_to_demeter_and_kore,379,1,
philleid,379,1,
hierophantis,380,1,
hearth_initiate,393,1,
kanephoros,394,1,
hearth_initiate,395,2,
hearth_initiate,396,1,
hearth_initiate,414,1,
hearth_initiate,416,1,
propraetor,419,1,
agonothete_of_megaloi_kaisareoi_sebastoi,423,1,
hoplite_general,425,1,
hearth_initiate,431,1,
priestess_to_demeter_and_kore,434,1,
priestess_to_demeter_and_kore,435,1,
priestess_to_demeter_and_kore,436,1,
priestess_to_demeter_and_kore,437,1,
imperial_priest,438,1,
equestrian,439,1,
hearth_initiate,440,1,
hearth_initiate,441,1,
periodonikos,441,1,
priestess_to_demeter_and_kore,442,1,
hearth_initiate,442,1,
exegete,442,1,
priest_of_panages,443,1,
priest_of_zeus_palladion,443,1,
bouzyges,443,1,
eponymous_archon,445,1,
herald_of_areopagus,445,1,
emperor,446,1,
emperor,448,1,
emperor,449,1,
emperor,451,1,
divine_panhellenios,453,1,
hierophantis,454,1,
initiate,454,1,
eponymous_archon,455,2,
exegete_of_eumolpidai,455,1,
hoplite_general,455,2,
herald_of_areopagus,455,1,
gymnasiarch,455,2,
agonothete_of_greater_asklepieia,455,1,
exegete_of_eumolpidai,456,1,
priestess_to_demeter_and_kore,458,1,
hearth_initiate,458,1,
hearth_initiate,459,1,
hierokeryx,459,1,
hierokeryx,462,1,
eponymous_archon,463,1,
exegete_of_eumolpidai,463,1,
hoplite_general,463,1,
herald_of_areopagus,463,1,
agonothete_of_panathenaia,463,1,
gymnasiarch,463,1,
ephesian_agonothete,463,1,
secretary_of_ephesian_demos,463,2,
ephesian_ambassador,463,1,
imperial_priest_of_asia,463,1,
neopoios_of_artemis,463,1,
ephesian_prytaneis,463,2,
ephesian_agoronomos,463,1,
ephesian_gymnasiarch,463,1,
senator,463,1,
military_tribune,463,1,
decemvir,463,1,
quaestor,463,1,
plebeian_tribune,463,1,
praetor,463,1,
governor,463,1,
agonothete_of_eleusinia,463,1,
priest_of_poseidon_erekhtheus,463,1,
hearth_initiate,464,1,
exegete_of_eumolpidai,464,1,
hierophant,465,1,
hierophant,466,1,
hearth_initiate,467,1,
daduch,467,1,
panegyriarch,468,1,
consul,470,2,
initiate,470,1,
