Institution ID,Inscription ID,Role,Uncertain,Notes
boule,267,Sponsor,FALSE,
demos,267,Sponsor,FALSE,
dionysiac_technitai,271,Sponsor,FALSE,
boule,274,Sponsor,FALSE,
boule,275,Sponsor,FALSE,
demos,275,Sponsor,FALSE,
demos,276,Sponsor,FALSE,
demos,280,Sponsor,FALSE,
boule,282,Sponsor,FALSE,
demos,282,Sponsor,FALSE,
boule,283,Sponsor,FALSE,
demos,285,Sponsor,FALSE,
demos,286,Sponsor,FALSE,
demos,288,Sponsor,FALSE,
demos,289,Sponsor,FALSE,
demos,292,Sponsor,FALSE,
areopagus,295,Sponsor,FALSE,
boule,295,Sponsor,FALSE,
demos,295,Sponsor,FALSE,
demos,298,Sponsor,FALSE,
boule,300,Sponsor,FALSE,
demos,300,Sponsor,FALSE,
demos,302,Sponsor,FALSE,
boule,305,Sponsor,FALSE,
demos,305,Sponsor,FALSE,
demos,308,Sponsor,FALSE,
areopagus,312,Sponsor,FALSE,
areopagus,323,Sponsor,FALSE,
boule,323,Sponsor,FALSE,
demos,323,Sponsor,FALSE,
areopagus,324,Sponsor,FALSE,
boule,324,Sponsor,FALSE,
demos,324,Sponsor,FALSE,
eumolpidai,324,Sponsor,FALSE,
demos,325,Sponsor,FALSE,
demos,326,Sponsor,FALSE,
areopagus,327,Sponsor,FALSE,
demos,327,Sponsor,FALSE,
boule,329,Sponsor,FALSE,
demos,330,Sponsor,FALSE,
areopagus,334,Sponsor,FALSE,
boule,334,Sponsor,FALSE,
demos,334,Sponsor,FALSE,
areopagus,335,Sponsor,FALSE,
boule,335,Sponsor,FALSE,
demos,335,Sponsor,FALSE,
areopagus,340,Sponsor,FALSE,
boule,340,Sponsor,FALSE,
demos,340,Sponsor,FALSE,
areopagus,345,Sponsor,FALSE,
boule,345,Sponsor,FALSE,
demos,345,Sponsor,FALSE,
areopagus,348,Sponsor,FALSE,
boule,348,Sponsor,FALSE,
demos,348,Sponsor,FALSE,
areopagus,349,Sponsor,FALSE,
boule,349,Sponsor,FALSE,
demos,349,Sponsor,FALSE,
areopagus,351,Sponsor,FALSE,
boule,351,Sponsor,FALSE,
demos,351,Sponsor,FALSE,
areopagus,352,Sponsor,FALSE,
boule,352,Sponsor,FALSE,
demos,352,Sponsor,FALSE,
areopagus,353,Sponsor,FALSE,
boule,353,Sponsor,FALSE,
demos,353,Sponsor,FALSE,
areopagus,362,Sponsor,FALSE,
boule,362,Sponsor,FALSE,
demos,362,Sponsor,FALSE,
areopagus,372,Sponsor,FALSE,
areopagus,378,Sponsor,FALSE,
boule,378,Sponsor,FALSE,
demos,381,Sponsor,FALSE,
areopagus,383,Sponsor,FALSE,
boule,383,Sponsor,FALSE,
demos,383,Sponsor,FALSE,
areopagus,389,Sponsor,FALSE,
boule,389,Sponsor,FALSE,
demos,389,Sponsor,FALSE,
boule,394,Sponsor,FALSE,
demos,396,Sponsor,FALSE,
areopagus,402,Sponsor,FALSE,
boule,402,Sponsor,FALSE,
demos,402,Sponsor,FALSE,
areopagus,410,Sponsor,FALSE,
demos,410,Sponsor,FALSE,
areopagus,414,Sponsor,FALSE,
boule,414,Sponsor,FALSE,
demos,414,Sponsor,FALSE,
demos,421,Sponsor,FALSE,
areopagus,427,Sponsor,FALSE,
boule,427,Sponsor,FALSE,
eumolpidai,435,Sponsor,FALSE,
lykomidai,435,Sponsor,FALSE,
boule_of_korinth,438,Sponsor,FALSE,
areopagus,439,Sponsor,FALSE,
areopagus,440,Sponsor,FALSE,
boule,440,Sponsor,FALSE,
demos,440,Sponsor,FALSE,
areopagus,441,Sponsor,FALSE,
boule,441,Sponsor,FALSE,
panhellenes,448,Sponsor,FALSE,
areopagus,455,Sponsor,FALSE,
boule,455,Sponsor,FALSE,
demos,455,Sponsor,FALSE,
samian_boule,457,Sponsor,FALSE,
samian_demos,457,Sponsor,FALSE,
sophiai,470,Sponsor,FALSE,
areopagus,483,Sponsor,FALSE,
boule,483,Sponsor,FALSE,
demos,483,Sponsor,FALSE,
areopagus,487,Sponsor,FALSE,
areopagus,488,Sponsor,FALSE,
areopagus,490,Sponsor,FALSE,
eumolpidai,490,Sponsor,FALSE,
panhellenes,491,Sponsor,FALSE,
areopagus,492,Sponsor,FALSE,
boule,492,Sponsor,FALSE,
demos,492,Sponsor,FALSE,
areopagus,493,Sponsor,FALSE,
areopagus,503,Sponsor,FALSE,
boule,503,Sponsor,FALSE,
demos,503,Sponsor,FALSE,
tribe_of_antiochis,514,Sponsor,FALSE,
demos,517,Sponsor,FALSE,
areopagus,519,Sponsor,FALSE,
boule,519,Sponsor,FALSE,
demos,519,Sponsor,FALSE,
areopagus,522,Sponsor,FALSE,
demos,522,Sponsor,FALSE,
