ID,Institution,Origin,Type,Category,Notes
areopagus,Areopagus,Athens,Public,Athenian,
boule,Boule,Athens,Public,Athenian,
demos,Demos,Athens,Public,Athenian,
tribe_of_antiochis,Tribe of Antiochis,Athens,Public,Athenian,
dionysiac_technitai,Dionysiac Technitai,Athens,Private,Athenian,
sophiai,Sophiai,Other,Private,Other,
philoi,Philoi,Other,Private,Other,
xenoi,Xenoi,Other,Private,Other,
samian_haloa,Samian Haloa,Samos,Public,Greek,
boule_of_korinth,Boule of Korinth,Corinth,Public,Greek,
samian_demos,Samian Demos,Samos,Public,Greek,
areopagus_of_ephesus,Areopagus of Ephesus,Ephesus,Public,Greek,
panhellenes,Panhellenes,Other,Public,Panhellenic,
sacred_gerousia,Sacred Gerousia,Other,Public,Panhellenic,
ephebes,Ephebes,Athens,Public,Athenian,
eumolpidai,Eumolpidai,Eleusis,Genos,Eleusinian,
kerykes,Kerykes,Eleusis,Genos,Eleusinian,
lykomidai,Lykomidai,Athens,Genos,Athenian,
philleidai,Philleidai,Eleusis,Genos,Eleusinian,
bouzygai,Bouzygai,Athens,Genos,Athenian,
praxiergidai,Praxiergidai,Athens,Genos,Athenian,
imperial_family,Imperial Family,Rome,Private,Roman,
spqr,SPQR,Rome,Public,Roman,
eteoboutadai,Eteoboutadai,Athens,Genos,Athenian,
samian_boule,Samian Boule,Samos,Public,Greek,
