Person ID,Inscription ID,Role,Notes
unc_kanephoros_3,267,Honorand,
ameinokleia_philanthou,267,,
ameinokleia_philanthou,268,Honorand,
theophilos,268,Sponsor,
philanthes,268,Sponsor,
diopeithes,268,Sponsor,
eurydike,268,Sponsor,
unc_hearth_initiate_1,269,Honorand,
unc_father,269,Sponsor,
unc_mother,269,Sponsor,
dionysios_dionysiou,270,Sponsor,
epiphaneia_hermolykou,270,Sponsor,
epiphaneia_2_athenagorou,270,Honorand,
philemon,271,Honorand,
eusebeia_ariobarzanou,272a,Honorand,
ariobarzanes_2_ariobarzanou_1,272a,,
ariobarzanes_2_ariobarzanou_1,272b,,
ariobarzanes_2_ariobarzanou_1,272d,Honorand,
athenais_2_ariobazanou_1,272a,,
athenais_2_ariobazanou_1,272b,,
athenais_2_ariobazanou_1,272c,Honorand,
ariobarzanes_1_philoromaios,272a,,
ariobarzanes_1_philoromaios,272b,,
ariobarzanes_1_philoromaios,272c,,
ariobarzanes_1_philoromaios,272d,,
athenais_1_philostorgos,272a,,
athenais_1_philostorgos,272b,,
athenais_1_philostorgos,272c,,
athenais_1_philostorgos,272d,,
athenais_3_ariobarzanou_2,272b,Honorand,
medeios_medeiou,273,Sponsor,
medeios_medeiou,275,Honorand,
diphila_diokleous,273,Sponsor,
timothea_medeiou,273,Honorand,
unc_tamias,274,Honorand,
t_pinarius,276,Honorand,
ktesikleia_apollonioiu,277,Sponsor,
ktesikleia_apollonioiu,278,Sponsor,
sophokles_xenokleous,277,Honorand,
sophokles_xenokleous,278,,
sophokles_xenokleous,300,,
kleokrateia_oinophilou,275,,
kleokrateia_oinophilou,279,,
kleokrateia_oinophilou,281,,
kleokrateia_oinophilou,282,,
kleo_dionysiou,280,Honorand,
kairion_dionysiou,282,,
unc_hi_1,282,Honorand,
unc_hi_2,283,Honorand,
unc_priestess_to_demeter_and_kore_1,284,,
unc_daduch,285,Honorand,
dionysios_athenagorou,286,Honorand,
quintus_pompeius,287,,
aulus_pompeius,287,,
sextus_pompeius,287,,
unc_hierophantis_1,288,Honorand,
l_munatius_plancus,289,Honorand,
appius_claudius_pulcher,290,,
pulcher_claudius,290,,
rex_marcius,290,,
khrysothemis_phaidrou,291a,Sponsor,
khrysothemis_phaidrou,291b,Sponsor,
khrysothemis_phaidrou,291d,Honorand,
phaidros_lysiadou,291a,Honorand,
phaidros_lysiadou,291b,,
phaidros_lysiadou,291c,,
phaidros_lysiadou,291d,,
pomponianus_atticus,291b,Honorand,
lysiades_phaidrou,291c,Honorand,
sempronia,292,Honorand,
l_gellius_publicola,292,,
gaius_creperius,293,,
marcus_titius,294,Honorand,
kallikratides_syndromou,295,Honorand,
kallikratides_syndromou,297,Sponsor,
livia_drusilla,703,Honorand,
emperor_augustus,297,Honorand,
emperor_augustus,704,Honorand,
theophrastos_themistokleous,298,Honorand,
theophrastos_themistokleous,300,,
theophrastos_themistokleous,302,,
theophrastos_themistokleous,301a,Honorand,
theophrastos_themistokleous,301b,,
theophrastos_themistokleous,301c,,
lamidion_apolexidos,299,Honorand,
apolexis_1,299,Sponsor,
ladameia_lysandrou,299,Sponsor,
apolexis_2,300,,
metrophanes_dionysiou,300,,
menophilos_satyrou,300,,
diotimos_diodorou,300,,
epikrates_kallimakhou,300,,
leontios_timarkhou_kephesieos,300,,
dionysios_demostratos,300,,
theophilos_menekrates,300,,
gorgippos_eudemos,300,,
dositheos_kleomenes,300,,
aristodemos_argeiou,300,,
menneos_menneou,300,,
philemon_philemonos,300,,
apolexis_apellikontos,300,,
demokhares_menandros,300,,
sarapion_diokleous,300,,
diokles_diokleous,300,,
arkhitimos_arkhitimou,300,,
themistokles_xenokleous,300,,
dionysodoros_dionysodorou,300,,
kikhesias_leontos,300,,
apollonios_ktesikleous,300,,
demostratos_dionysiou,300,,
timosthenes_timarkhou,300,,
menandros_demokharous,300,,
aristaikhmos_ammoniou,300,,
sophokles_philotou,300,,
dionysodoros_deiradiotou,300,,
dionysodoros_deiradiotou,346,,
iophon_dionysodoros_deiradiotes,300,,
alexandros_agathokleous,300,,
euphron_euphrontos,300,,
seleukos_demeou,300,,
mikion_philokratou,300,,
themistokles_theophrastou_2,300,Honorand,
themistokles_theophrastou_2,302,,
themistokles_theophrastou_2,348,,
themistokles_theophrastou_2,349,,
themistokles_theophrastou_2,301a,,
themistokles_theophrastou_2,301b,Honorand,
themistokles_theophrastou_1,300,,
leontios_sophokleous,300,,
philoxenidos_sophokleous,300,,
kephisodoros,300,,
philistides,300,,
philoxenis,300,,
themistokles,300,,
antiphon,300,,
hermoteimos,300,,
hierokleides,300,,
semon,300,,
sophokles_theophrastou,303,,
sophokles_theophrastou,301c,Honorand,
unc_hearth_initiate_themistokleous,302,Honorand,
antiokhos_demetriou,304,,
polyainos_nikandrou,305,Honorand,
theophile,306,,
unc_kleides,307,Sponsor,
phainarete,307,Sponsor,
diotima,307,Honorand,
diodotos_kalliphontos,308,Honorand,
sosibios,309,,
hipparkhos,310,,
dionysios_dionysiou_2,312,Honorand,
unc_diodot,315,,
unc_heath_initiate_2,317,,
ithake,317,,
unc_heath_initiate_3,318,,
unc_hearth_initiate_4,319,,
attikos_attikou,320,,
atheno_niketou,323,Honorand,
pammenes_pammenous,324,Honorand,
hierophantis_mos_unc,325,Honorand,
antamenes_leontikhou,327,Honorand,
dione_pasikratous,328,,
unc_kourotrophos,328,,
oknia_polykharmou,329,Honorand,
polykharmos_polykritos,329,Honorand,
polykharmos_polykritos,330,Honorand,
emperor_tiberius,330,,
emperor_tiberius,331,Honorand,
emperor_tiberius,334,Honorand,
emperor_tiberius,335,,
emperor_tiberius,344,,
theophilos_eudoxou,331,Sponsor,
menandros_asklepiodotou,333,Honorand,
kleo_eukleous,334,,
kleo_eukleous,335,,
kleo_eukleous,341,,
kleo_eukleous,342,,
kleo_eukleous,343,,
kleo_eukleous,344,,
kleo_eukleous,358,,
kleo_eukleous,364,,
papios_marathonios,334,,
iulia_augusta,335,Honorand,
nikodemos_hermeiou,335,,
nikodemos_hermeiou,341,,
nikodemos_hermeiou,342,,
nikodemos_hermeiou,358,,
nikodemos_hermeiou,364,,
praxagoras_of_melite,335,,
unc_aulus_marathonios,336,,
unc_aulus_marathonios,337,,
unc_aulus_marathonios,338,,
polykharmos_eukleous,344,Honorand,
eimertos_polykharmos,331,,
eimertos_polykharmos,344,Sponsor,
t_statilius_lamprias,345,Honorand,
kleophatra_iophontos,346,Sponsor,
publius_papinius_statius,347a,Honorand,
unc_consul,347b,Honorand,
diokles_themistokles_hagnousios,348,Honorand,
athenais_diokleous,349,Honorand,
marcus_porcius_cato,350,Honorand,
seilon_apolloniou,351,Honorand,
apollonios_seilonos,351,,
gaius_caecilius_cassius,352,Honorand,
statilia,353,Honorand,
ti_kl_eukles_sostratou,354,Sponsor,
ti_kl_eukles_sostratou,355,Sponsor,
iulia_agrippina,354,Honorand,
unc_bro_of_ti_kl_eukles_sostratou,355,,
ti_kl_nouios_philinou,356,Honorand,
ti_kl_nouios_philinou,361,Honorand,
g_iul_polkhos_sounieus,357,Sponsor,
ti_kl_demostratos,357,Honorand,
ti_kl_demostratos,632,,
ti_kl_neikotelous,357,,
kl_philippe,357,,
kl_asklepiodoros,358,Honorand,
kl_unc_asklepiodorou,358,Sponsor,
unc_exegete_of_eumolpidai_1,359,Honorand,
iul_nikanor,360,,
iul_nikanor,362,Honorand,
unc_emperor_1,363,Honorand,
